family,original_id,verified_identification,lowest_tax_cat,notes
,Entomacrodus epalzeocheilus,Entomacrodus epalzeocheilos,species,
,Euryglossa,Brachirus,genus,Synonym of  Brachirus. Primary homonym.
,Helcogramma habena Williams & McCormick,Helcogramma inclinata,species,Synonym
,Aporops bilinearis,Aporops bilinearis,species,
,Bathygobius laddi,Bathygobius laddi,species,
,Brachaelurus waddi,Brachaelurus waddi,species,
,Brotulinella taiwanensis,Brotulinella taiwanensis,species,
,Halichoeres timorensis,Halichoeres timorensis,species,
,Pomacentridae,Pomacentridae,family,
,Spratelloides delicatulus,Spratelloides delicatulus,species,
,Acanthurus nigricans,Acanthurus nigricans,species,
,Amanses scopas,Amanses scopas,species,
,Aseraggodes matsuurai,Aseraggodes matsuurai,species,
,Chaetodon ephippium,Chaetodon ephippium,species,
,Epinephelus ongus,Epinephelus ongus,species,
,Ostorhinchus angustatus,Ostorhinchus angustatus,species,
,Paragobiodon lacunicolus,Paragobiodon lacunicola,species,
,Paragobiodon modestus,Paragobiodon modestus,species,
,Archamia macroptera,Taeniamia macroptera,species,Synonym
,Aspidontus dussumieri,Aspidontus dussumieri,species,
,Calotomus carolinus,Calotomus carolinus,species,
,Cantherhines fronticinctus,Cantherhines fronticinctus,species,
,Cheilinus trilobatus,Cheilinus trilobatus,species,
,Epinephelus tauvina,Epinephelus tauvina,species,
,Lethrinus lentjan,Lethrinus lentjan,species,
,Pomacentrus coelestis,Pomacentrus coelestis,species,
,Valenciennea strigata,Valenciennea strigata,species,
,Aporops,Aporops,genus,
,Centropyge flavicauda,Centropyge fisheri,species,Synonym
,Epinephelus cyanopodus,Epinephelus cyanopodus,species,
,Scorpaenopsis vittapinna Randall & Eschmeyer,Scorpaenopsis vittapinna,species,
,Callogobius sheni,Callogobius sheni,species,
,Carapus homei,Encheliophis homei,species,Synonym
,Chaetodon baronessa,Chaetodon baronessa,species,
,Chaetodon rafflesi,Chaetodon rafflesii,species,
,Dendrochirus zebra,Dendrochirus zebra,species,
,Gymnothorax pseudoherrei Bohlke,Gymnothorax pseudoherrei,species,
,Istigobius goldmanni,Istigobius goldmanni,species,
,Priolepis vexilla Winterbottom & Burridge,Priolepis vexilla,species,
,Archamia,Archamia,genus,
,Parapriacanthus guentheri,Parapriacanthus guentheri,species,
,Pseudojuloides cerasinus,Pseudojuloides cerasinus,species,
,Epinephelus microdon,Epinephelus polyphekadion,species,Synonym
,Chelon tade,Planiliza tade,species,
,Gerres abbreviatus,Gerres erythrourus,species,Synonym
,Lutjanus fulviflamma,Lutjanus fulviflamma,species,
,Oligolepis moloanus,Acentrogobius moloanus,species,"Valid genus name. No moloanus species in Oligolepis. Moloanis species in Acentrogobius, which occurs in the Philippines. Occurs in the dataset as Amoya moloanus. "
,Paraplagusia bilineata,Paraplagusia bilineata,species,
,Toxotes jaculator,Toxotes jaculatrix,species,
,Ablabys macracanthas,Ablabys macracanthus,species,
,Abudefduf vaigensis,Abudefduf vaigiensis,species,
,Acanthocromis polyacanthus,Acanthochromis polyacanthus,species,
,Acanthurus grammoptilus,Acanthurus grammoptilus,species,
,Acanthurus olivaceus,Acanthurus olivaceus,species,
,Acanthurus sp.,Acanthurus,genus,sp. -> genus
,Acanthurus striatus,Ctenochaetus striatus,species,
,Acanthurus triastegus,Acanthurus triostegus,species,
,Acanturus nigrofuscus,Acanthurus nigrofuscus,species,
,Acreichthys tomentosus,Acreichthys tomentosus,species,
,Acrygobius baliurus,Arcygobius baliurus,species,
,Aeoliscus strigatus,Aeoliscus strigatus,species,
,Aethaloperca rogaa,Aethaloperca rogaa,species,
,Alionematichthys sp.,Alionematichthys,genus,sp. -> genus
,Alionematichthys suluensis,Alionematichthys suluensis,species,
,Amblycirrhitus bimaculatus,Amblycirrhitus bimacula,species,
,Amblyeleotris sp.,Amblyeleotris,genus,
,Amblygliphidodon leucogaster,Amblyglyphidodon leucogaster,species,
,Amblyglyphidodon batunai,Amblyglyphidodon batunaorum,species,
,Amblygobius buanensis,Amblygobius buanensis,species,
,Amblygobius decussatus,Amblygobius decussatus,species,
,Amblygobius semicinctus,Amblygobius semicinctus,species,
,Amphiprion biaculeatus,Amphiprion biaculeatus,species,
,Amphiprion brenatus,Amphiprion frenatus,species,
,Amsichthys knighti,Amsichthys knighti,species,
,Amsichthys knighti cf,Amsichthys knighti,species,repeat (misspelling)
,Anampses caeruleopunctatus,Anampses caeruleopunctatus,species,
,Ancistrogobius squamiceps,Ancistrogobius squamiceps,species,
,Antennarius pictus,Antennarius pictus,species,
,Apogon doryssa,Apogon doryssa,species,
,Apogon duryssa,Apogon doryssa,species,repeat (misspelling)
,Apogon nigracaudus,Acanthurus nigricauda,species,"Change to Acanthurus nigricauda. Apogon is a valid genus. Nigracaudus is not a valid spp in Apogon. Many Apogon spp and spp with ""apogon"" in the genus in this dataset. Based on the original spp name ""nigracaudus"", perhaps it is Enneapterygius nigricauda or Acanthurus nigricans or Acanthurus nigrofuscus, which are in this dataset. Only valid spp on Eschmeyer's with ""nigricaudus"" (not ""nigracaudus""): Axoclius nigricaudus, Lophiosilurus nigricauda, Acanthurus nigricaudus. "
,Apogon semioratus,Apogon semiornatus,species,
,Apogon sp. 1,Apogon,genus,sp. -> genus
,Apterichtus sp.,Apterichtus,genus,sp. -> genus
,Archamia bleekeri,Archamia bleekeri,species,
,Arothrom manilensis,Arothrom manilensis,species,
,Aseraggodes sp. 1,Aseraggodes,genus,
,Aseraggodes winterbottomi,Aseraggodes winterbottomi,species,
,Asterropteryx bipunctata,Asterropteryx bipunctata,species,
,Asterropteryx senoui,Asterropteryx senoui,species,
,Asterropteryx spinosa,Asterropteryx spinosa,species,
,Balistaous undulatus,Balistapus undulatus,species,
,Blennidae sp.,Blenniidae,family,sp. -> family
,Blenniella periopthalmus,Blenniella periophthalmus,species,
,Blenniidae sp.,Blenniidae,family,repeat (misspelling)
,Blenniidae sp. 4,Blenniidae,family,repeat (other sp)
,Blenny sp. 1,Blenniidae,family,Double check blenny = family
,Bodianus dictynna,Bodianus dictynna,species,
,Brachysomophis umbonis,Brachysomophis umbonis,species,
,Brachysomophsis sp.,Brachysomophis,genus,sp. -> genus
,Brosmophyciops pautzkei,Brosmophyciops pautzkei,species,
,Brotula multibarbata,Brotula multibarbata,species,
,Brotula sp.,Brotula,genus,sp. -> genus
,Bythitidae sp. 1,Bythitidae,family,sp. -> family
,Caesio caerulaurea,Caesio caerulaurea,species,
,Callionymus acutirostris,Callionymus acutirostris,species,
,Callionymus japonicus,Callionymus japonicus,species,
,Callogobius clitellus,Callogobius clitellus,species,
,Callogobius mannarensis,Callogobius mannarensis,species,
,Callogobius slateri,Callogobius sclateri,species,
,Caracanthus unipinna,Caracanthus unipinna,species,
,Carangoides ferdan,Ferdauia ferdau,species,
,Centropyge vrolickii,Centropyge vrolikii,species,
,Cephalopholis buenak,Cephalopholis boenak,species,
,Cephalopholis cyanostima,Cephalopholis cyanostigma,species,
,Cephalopolis miniata,Cephalopolis miniata,species,
,Cephalopolis urodeta,Cephalopholis urodeta,species,
,Chaeloprion labiatus,Cheiloprion labiatus,species,
,Chaetodon lunalatus,Chaetodon lunulatus,species,
,Chaetodon selene,Chaetodon selene,species,
,Cheilinus sp.,Cheilinus,genus,
,Cheilodipterus alleni,Cheilodipterus alleni,species,
,Cheilodipterus heptozona,Cheilodipterus heptozona,species,
,Cheilodipterus intermedius,Cheilodipterus intermedius,species,
,Cheilodipterus isostigma,Cheilodipterus isostigma,species,
,Cheilodipterus isostigmus,Cheilodipterus isostigma,species,repeat (misspelling)
,Cheilodipterus singapurensis,Cheilodipterus singapurensis,species,
,Cheilodipterus sp 1.,Cheilodipterus,genus,"repeat, sp. -> genus"
,Cheilodipterus sp.,Cheilodipterus,genus,"repeat, sp. -> genus"
,Cheilodipterus sp. 2,Cheilodipterus,genus,"repeat, sp. -> genus"
,Chlorourus bleekeri,Chlorourus bleekeri,species,
,Chlorurus sordidus/spilurus,Chlorurus spilurus,species,"Undecided name. Both valid. Both present in this dataset. IUCN Geographic range for sordidus does not include Philippines, while spilurus does."
,Chlorurus sp.,Chlorurus,genus,sp. -> genus
,Chlorurus spilurus,Chlorurus spilurus,species,
,Choeroichthys cinctus,Choeroichthys cinctus,species,
,Chromis delta,Pycnochromis delta,species,
,Chromis marganitifer,Pycnochromis margaritifer,species,
,Chromis scotochiloptera,Chromis scotochiloptera,species,
,Chromis weberi,Chromis weberi,species,
,Chrysoptera talboti,Chrysiptera talboti,species,
,Cirrhilabrus lubbocki,Cirrhilabrus lubbocki,species,
,Cirrhilabrus ryukynensis,Cirrhilabrus ryukyuensis,species,
,Cirrhilabrus ryukyuensis,Cirrhilabrus ryukyuensis,species,repeat (misspelling)
,Cirrhilabrus sp.,Cirrhilabrus,genus,sp. -> genus
,Cirrhilaorus rubrimarginatus,Cirrhilabrus rubrimarginatus,species,
,Coris batuenis,Coris batuensis,species,repeat (misspelling)
,Coris batuensis,Coris batuensis,species,
,Cromileptes altivelis,Chromileptes altivelis,species,
,Crysiptera rex,Chrysiptera rex,species,
,Ctenochaetus sp.,Ctenochaetus,genus,
,Ctenogobiops aurocingulus,Ctenogobiops aurocingulus,species,
,Dascyllus trimaculabrus,Dascyllus trimaculatus,species,
,Deiuramus semicinctus,Leiuranus semicinctus,species,"Deiuramus is not a valid genus name. Semicinctus is a valid spp name. Deiuramus was probably mispelled and was meant to be Leiuranus, which is present in the Philippines."
,Dendrochirus biocellatus,Dendrochirus biocellatus,species,
,Diancistrus machida,Diancistrus machidai,species,
,Dinematichthys trilobatus,Dinematichthys trilobatus,species,
,Dinemitichthys sp. (yellow),Dinematichthys,genus,sp. -> genus
,Diodon liturosus,Diodon liturosus,species,
,Diplogrammus goramensis,Diplogrammus goramensis,species,
,Discordipinna griessingeri,Discordipinna griessingeri,species,
,Discotrema crinophila,Discotrema crinophilum,species,
,Discotrema lineatus,Lepadichthys lineatus,species,
,Doryrhampus sp.,Doryrhamphus,genus,sp. -> genus
,Echidna nebulosa,Echidna nebulosa,species,
,Ecsenius kurtis,Ecsenius kurti,species,
,Ecsenius monoculus,Ecsenius monoculus,species,
,Enchelychore bayeri,Enchelycore bayeri,species,repeat (misspelling)
,Enchelycore bayeri,Enchelycore bayeri,species,
,Enchelycore schismatorhynchus,Enchelycore schismatorhynchus,species,
,Eneapterygius nigricauda,Enneapterygius nigricauda,species,
,Enneapterygius elegans,Enneapterygius elegans,species,
,Enneapterygius fasciatus,Enneapterygius fasciatus,species,
,Enneapterygius flavoccipitis,Enneapterygius flavoccipitis,species,
,Enneapterygius hemimelas,Enneapterygius hemimelas,species,
,Enneapterygius nigricauda,Enneapterygius nigricauda,species,
,Enneapterygius rubicauda,Enneapterygius rubicauda,species,
,Enneapterygius sp.,Enneapterygius,genus,"repeat, sp. -> genus"
,Enneapterygius sp. 1,Enneapterygius,genus,"repeat, sp. -> genus"
,Enneapterygius sp. 2,Enneapterygius,genus,"repeat, sp. -> genus"
,Enneapterygius tutuilae,Enneapterygius tutuilae,species,
,Entomacrodus caudufasciatus,Entomacrodus caudofasciatus,species,
,Epinephelus argus,Cephalopholis argus,species,
,Escenius bicolor,Ecsenius bicolor,species,
,Escenius lineatus,Ecsenius lineatus,species,
,Eviota albolineata (?),Eviota albolineata,species,"Marked ""?"""
,Eviota atriventris,Eviota atriventris,species,
,Eviota distigma,Eviota distigma,species,
,Eviota fasciola,Eviota fasciola,species,
,Eviota herrei,Eviota herrei,species,
,Eviota irrasa,Eviota irrasa,species,
,Eviota jewettae,Eviota jewettae,species,
,Eviota jewette,Eviota jewettae,species,repeat (misspelling)
,Eviota kurechika,Eviota korechika,species,
,Eviota latifasciata,Eviota latifasciata,species,
,Eviota melasma,Eviota melasma,species,
,Eviota minuta,Eviota minuta,species,
,Eviota nebulosa,Eviota nebulosa,species,
,Eviota nigramembrana,Eviota nigramembrana,species,
,Eviota occasa cf,Eviota occasa,species,"removed ""cf"""
,Eviota quenslandica,Eviota queenslandica,species,
,Eviota rubrisparsa cf,Eviota rubrisparsa,species,
,Eviota sp.,Eviota,genus,sp. -> genus
,Eviota sp. (?),Eviota,genus,"repeat, marked ""?"""
,Eviota sparsa,Eviota sparsa,species,
,Eviota sparsa (?),Eviota sparsa,species,"marked ""?"""
,Eviota winterbottomi,Eviota winterbottomi,species,
,Exyrias akihito,Exyrias akihito,species,
,Fibramia thermalis,Fibramia thermalis,species,
,Fistularia commersomi,Fistularia commersonii,species,
,Foa sp.,Foa,genus,sp. -> genus
,Fowleria marmorata,Fowleria marmorata,species,
,Fowleria marmorates,Fowleria marmorata,species,repeat (misspelling)
,Fowleria sp. 1 (?),Fowleria,genus,"repeat, marked ""?"""
,Fusigobius aureus,Fusigobius aureus,species,
,Fusigobius duopilus,Fusigobius duospilus,species,repeat (misspelling)
,Fusigobius duospilus,Fusigobius duospilus,species,
,Fusigobius gracilis,Fusigobius gracilis,species,
,Fusigobius humeralis,Fusigobius humeralis,species,
,Fusigobius melacron,Fusigobius melacron,species,
,Fusigobius signipinnis,Fusigobius signipinnis,species,
,Gerres oyena,Gerres oyena,species,
,Gnatholepis aujerensis,Gnatholepis anjerensis,species,
,Gnatholepis caurensis,Gnatholepis cauerensis,species,repeat (misspelling)
,Gnatholepis caurerensis,Gnatholepis cauerensis,species,
,Gobiidae sp. 1,Gobiidae,family,"repeat, sp. -> family"
,Gobiidae sp. 2,Gobiidae,family,"repeat, sp. -> family"
,Gobiidae sp. 3,Gobiidae,family,"repeat, sp. -> family"
,Gobiidae sp. 4,Gobiidae,family,"repeat, sp. -> family"
,Gobiidae sp. 5,Gobiidae,family,"repeat, sp. -> family"
,Gobiidae sp. 6,Gobiidae,family,"repeat, sp. -> family"
,Gobiodon axillaris,Gobiodon axillaris,species,
,Gobiodon okinawae,Gobiodon okinawae,species,
,Gobiodon prolixus,Gobiodon prolixus,species,
,Gymnapogon philippinus,Gymnapogon philippinus,species,
,Gymnapogon vanderbilti,Gymnapogon vanderbilti,species,
,Gymnomuraena zebra,Gymnomuraena zebra,species,
,Gymnopogon philippinus,Gymnapogon philippinus,species,
,Gymnothorax albimarginatus,Gymnothorax albimarginatus,species,
,Gymnothorax buroensis,Gymnothorax buroensis,species,
,Gymnothorax castlei,Gymnothorax castlei,species,
,Gymnothorax chilopilus,Gymnothorax chilospilus,species,
,Gymnothorax chilospilus,Gymnothorax chilospilus,species,
,Gymnothorax enigmaticus,Gymnothorax enigmaticus,species,
,Gymnothorax fimbriatus,Gymnothorax fimbriatus,species,
,Gymnothorax javanicus,Gymnothorax javanicus,species,
,Gymnothorax marganitophorus,Gymnothorax margaritophorus,species,
,Gymnothorax margaritophorus,Gymnothorax margaritophorus,species,
,Gymnothorax melatremus,Gymnothorax melatremus,species,
,Gymnothorax meleagris,Gymnothorax meleagris,species,
,Gymnothorax microstictus,Gymnothorax microstictus,species,
,Gymnothorax pindae,Gymnothorax pindae,species,
,Gymnothorax pseudoherrei,Gymnothorax pseudoherrei,species,
,Gymnothorax richardsonii,Gymnothorax richardsonii,species,
,Gymnothorax robinsi,Gymnothorax robinsi,species,
,Gymnothorax ruppelii,Gymnothorax rueppelliae,species,
,Gymnothorax sp.,Gymnothorax,genus,"repeat, sp. -> genus"
,Gymnothorax sp. (brown),Gymnothorax,genus,"repeat, sp. -> genus"
,Gymnothorax thyrsoideus,Gymnothorax thyrsoideus,species,
,Gymnothorax undulatus,Gymnothorax undulatus,species,
,Gymnothorax zonipectis,Gymnothorax zonipectis,species,
,Gymnothorax zonipectus,Gymnothorax zonipectis,species,
,Gymonthorax sp.,Gymnothorax,genus,sp. -> genus
,Halichoeres biocellatus,Halichoeres biocellatus,species,
,Halichoeres chrysus,Halichoeres chrysus,species,
,Halichoeres melanarus,Halichoeres melanarus,species,
,Halichoeres podostisma,Halichoeres podostisma,species,
,Halichoeres richmondi,Halichoeres richmondi,species,
,Halichoeres sp. 1,Halichoeres,genus,sp. -> genus
,Halichoreres argus,Halichoeres argus,species,
,Helcogramma albimacula,Helcogramma albimacula,species,
,Helcogramma chica,Helcogramma chica,species,
,Helcogramma desa,Helcogramma desa,species,
,Helcogramma novacaledoniae,Helcogramma novaecaledoniae,species,
,Helcogramma rhinocerus,Helcogramma rhinoceros,species,
,Helcogramma sp. 2,Helcogramma,genus,sp. -> genus
,Helcogramma springeri,Helcogramma springeri,species,
,Helcogramma striata,Helcogramma striata,species,
,Helcogramma trigloides,Helcogramma trigloides,species,
,hinecanthus verrucosus,Rhinecanthus verrucosus,species,
,Holocentrid,Holocentridae,family,
,Hologymnosus doliatus,Hologymnosus doliatus,species,
,Hypoatherina panatela,Hypoatherina panatela,species,
,Hypoatherina panatella,Hypoatherina panatela,species,repeat (misspelling)
,Hyporhamphus affinis,Hyporhamphus affinis,species,
,Inimicus didactylus,Inimicus didactylus,species,
,Istiblennius bellus,Istiblennius bellus,species,
,Istiblennius colei,Istiblennius colei,species,
,Istigobius decoratus,Istigobius decoratus,species,
,Istigobius nigroocellatus,Istigobius nigroocellatus,species,
,Kaupichthys brachychirus,Kaupichthys brachychirus,species,
,Kaupichthys bradychirus,Kaupichthys brachychirus,species,
,Kaupichthys diodontus,Kaupichthys diodontus,species,
,Kaupichthys sp.,Kaupichthys,genus,
,Koumansetta hectori,Koumansetta hectori,species,
,Labridae (Thalassoma?),Thalassoma,genus,
,Labridae sp. 1,Labridae,family,repeat
,Labridae sp. 2,Labridae,family,
,Labropsis coeruleolineatus,Plesiops coeruleolineatus,species,Valid genus name w/ 6 species. L. manabei & L. alleni in this dataset. L. micronesica & L. xanthonota are present in the Philippines. Valid spp name. Only one relevant to Philippines: Plesiops coeruleolineatus.
,Leptoscarus ?,Leptoscarus,genus,"marked ""?"""
,Limnichthys nitidus,Limnichthys nitidus,species,
,Liopropoma mitratum,Liopropoma mitratum,species,
,Lutjanus rivulatus,Lutjanus rivulatus,species,
,Macropharygodon meleagris,Macropharygodon meleagris,species,
,Meiacantus grammistes,Meiacanthus grammistes,species,repeat (misspelling)
,Meiocanthus grammistes,Meiacanthus grammistes,species,
,Melacanthus grammistes,Meiacanthus grammistes,species,
,Microgoby sp.,Microgobius,genus,
,Microgoby sp. 1,Microgobius,genus,
,Microgoby sp. 2,Microgobius,genus,
,Microgoby sp. 3,Microgobius,genus,
,Microgoby sp. 4,Microgobius,genus,
,Microgoby sp. 5,Microgobius,genus,
,Microgoby sp. 6,Microgobius,genus,
,Microgoby sp. 7,Microgobius,genus,
,Microgoby sp. 8,Microgobius,genus,
,Mirolabrichthys tuka,Mirolabrichthys tuka,species,
,Moringua raitaborua,Moringua raitaborua,species,
,Moringua sp.,Moringua,genus,sp. -> genus
,Muraenichthys schultzei,Muraenichthys schultzei,species,
,Muraenichthys sp.,Muraenichthys,genus,sp. -> genus
,Muraenichthys thompsoni,Muraenichthys thompsoni,species,
,Muraenidae,Muraenidae,family,
,Mypristes kantee,Myripristis kuntee,species,
,Myripristis berndti,Myripristis berndti,species,
,Myripristis botche,Myripristis botche,species,
,Nannosalarias nativitatus,Nannosalarias nativitatis,species,
,Nectamia bandanensis,Nectamia bandanensis,species,
,Nectamia luxuria,Nectamia luxuria,species,
,Nectamia similis,Nectamia similis,species,
,Nectamia viria,Nectamia viria,species,
,Omobranchus obliquus,Omobranchus obliquus,species,
,Ophichthus cephalozona,Ophichthus cephalozona,species,
,Ophichthus sp (?),Ophichthus,genus,sp. -> genus
,Opistognathus solorensis,Opistognathus solorensis,species,
,Opistognathus sp. 1,Opistognathus,genus,sp. -> genus
,Oplopomops diacanthus,Oplopomops diacanthus,species,
,Ostarhinchus nigrofasciatus,Ostorhinchus nigrofasciatus,species,
,Ostorhinchus chrysopomus,Ostorhinchus chrysopomus,species,
,Ostorhinchus compressa,Ostorhinchus compressus,species,
,Ostorhinchus jenkinsi,Ostorhinchus jenkinsi,species,
,Ostorhinchus negrofasciatus,Ostorhinchus nigrofasciatus,species,
,Ostorhinchus ocellicaudus,Ostorhinchus ocellicaudus,species,
,Ostorhinchus parvulus,Ostorhinchus parvulus,species,
,Ostorhinchus sp.,Ostorhinchus,genus,
,Ostorhinchus wassinki,Ostorhinchus wassinki,species,
,Oxycheilinus arenatus,Oxycheilinus arenatus,species,
,Oxycheilinus digrammus,Oxycheilinus digramma,species,
,Oxycheilinus sp.,Oxycheilinus,genus,sp. -> genus
,Oxycheillinus digramma,Oxycheilinus digramma,species,
,Paracheilinus angularus,Paracheilinus angulatus,species,
,Paracheilinus carpenteri,Paracheilinus carpenteri,species,
,Paracheilinus sp. 1,Paracheilinus,genus,
,Paragobiodon lacunicola,Paragobiodon lacunicola,species,
,Paragobiodon melanosomus,Paragobiodon melanosoma,species,
,Paragobiodon xanthosoma,Paragobiodon xanthosoma,species,
,Parapeneus multifasciatus,Parupeneus multifasciatus,species,
,Parapercis hexophthalma,Parapercis hexophtalma,species,
,Parapercis lineopunctata,Parapercis lineopunctata,species,
,Parapercis millepuncttata,Parapercis millepuncttata,species,
,Parapercis multiplicata,Parapercis multiplicata,species,
,Parupaeneus crassilabris,Parupeneus crassilabris,species,
,Parupeneus barberinus,Parupeneus barberinus,species,
,Pentapodus caninus,Pentapodus caninus,species,
,Petroscirtes breviceps,Petroscirtes breviceps,species,
,Petroscistes breviceps,Petroscirtes breviceps,species,repeat (misspelling)
,Phoxocampus kampeni,Phoxocampus kampeni,species,
,Phoxocampus rampeni,Phoxocampus kampeni,species,repeat (misspelling)
,Phyllogobius platycephalops,Phyllogobius platycephalops,species,
,Pictichromis diadema,Pictichromis diadema,species,
,Pictichromis porphyreus,Pictichromis porphyrea,species,
,Plagiotremas rhinorhynchos,Plagiotremus rhinorhynchos,species,repeat (misspelling)
,Plagiotremus rhinorhynchus,Plagiotremus rhinorhynchos,species,
,Plastiotremus landanus,Plagiotremus laudandus,species,
,Platax boersii,Platax boersii,species,
,Plectorhinchus polytaenia,Plectorhinchus polytaenia,species,
,Plectranthias nanus,Plectranthias nanus,species,
,Plectroglyphidodon lucozonus,Plectroglyphidodon leucozona,species,
,Plesiopidae sp. 1,Plesiopidae,family,sp. -> family
,Plesiops cperulineatus,Plesiops coeruleolineatus,species,
,Pleurosicya annandalei,Pleurosicya annandalei,species,
,Pomacentrus adelus,Pomacentrus adelus,species,
,Pomacentrus blankanensis,Pomacentrus bankanensis,species,
,Pomacentrus coelistis,Pomacentrus coelestis,species,
,Pomacentrus grammorhynchus,Pomacentrus grammorhynchus,species,
,Pomacentrus moluccansis,Pomacentrus moluccensis,species,
,Pomacentrus vaiuli,Pomacentrus vaiuli,species,
,Prealticus bilineatus,Praealticus bilineatus,species,
,Prealticus striatus,Praealticus striatus,species,
,Priacanthus sagittarius,Priacanthus sagittarius,species,
,Priolepid,Priolepis,genus,
,Priolepis aithiops,Priolepis aithiops,species,
,Priolepis cincta,Priolepis cincta,species,
,Priolepis compita,Priolepis compita,species,
,Priolepis fallacincta,Priolepis fallacincta,species,
,Priolepis multifaciata,Priolepis nuchifasciata,species,
,Priolepis pallidicincta,Priolepis pallidicincta,species,
,Priolepis sp. 1,Priolepis,genus,
,Pristapogon kalleapterus,Pristiapogon kallopterus,species,
,Pristiapogon taeniopterus,Pristiapogon taeniopterus,species,
,Pristiapogon urostigma,Pristiapogon urostigma,species,
,Pristicon rufus,Pristicon rufus,species,
,Pristocon trimaculatus,Pristicon trimaculatus,species,
,Pritiapogon kallopterus,Pristiapogon kallopterus,species,repeat (misspelling)
,Pseudamia hayashi,Pseudamia hayashii,species,
,Pseudamia sp. 1,Pseudamia,genus,
,Pseudamiops gracilicauda,Pseudamiops gracilicauda,species,
,Pseudanthia sp.,Pseudanthias,genus,sp. -> genus
,Pseudanthia tuba,Mirolabrichthys tuka,species,
,Pseudanthias huchti,Pseudanthias huchtii,species,repeat (misspelling)
,Pseudanthias huchtii,Pseudanthias huchtii,species,
,Pseudanthias hutchii,Pseudanthias huchtii,species,
,Pseudanthias sp.,Pseudanthias,genus,
,Pseudocheilinnus hexataenia,Pseudocheilinus hexataenia,species,
,Pseudocheilinus evanides,Pseudocheilinus evanidus,species,
,Pseudocheilinus evarides,Pseudocheilinus evanidus,species,
,Pseudochromis bilineatus,Pseudochromis bitaeniatus,species,"Psueodochromis is a valid genus name and many in this dataset. Many bilineatus spp w/ 2 in this dataset: Praealticus bilineatus & Scolopsis bilineatus. Probably mispelled spp name. Assumed to be Pseudochromis bitaeniatus, which is present in the Philippines."
,Pseudochromis caudalis,Pseudochromis caudalis,species,
,Pseudochromis coccinicauda,Pseudochromis coccinicauda,species,
,Pseudochromis flavopunctatus,Pseudochromis flavopunctatus,species,
,Pseudochromis sp.,Pseudochromis,genus,
,Pseudogramma polyacantha,Pseudogramma polyacanthus,species,repeat (misspelling)
,Pseudogramma polyacanthus,Pseudogramma polyacanthus,species,
,Pseudoplesiops rosae,Pseudoplesiops rosae,species,
,Pseudoplesiops sp. 1,Pseudoplesiops,genus,
,Pseudoplesios rosae,Pseudoplesiops rosae,species,
,Ptectroglyphidodon lacrymatus,Stegastes lacrymatus,species,Genus name was likely mispelled. Synonym. 
,Pteragobus guttatus,Pteragogus guttatus,species,
,Pteragogus cryptus,Pteragogus cryptus,species,
,Pteragogus guttatus,Pteragogus guttatus,species,
,Pterois radiata,Pterois radiata,species,
,Pycnochromis amboinensis,Pycnochromis amboinensis,species,
,Pycnochromis margaritifer,Pycnochromis margaritifer,species,
,Pycnochromis retrofasciata,Pycnochromis retrofasciatus,species,
,Pycnochromis retrofasciatus,Pycnochromis retrofasciatus,species,
,PycnoPycnochromis amboinensis,Pycnochromis amboinensis,species,
,Pygloplites diacanthus,Pygoplites diacanthus,species,
,Rhabdoblennius nitidus,Rhabdoblennius nitidus,species,
,Salarias alboguttatus,Salarias alboguttatus,species,
,Salarias sinuosus,Salarias sinuosus,species,
,Sargocentron cornatum,Sargocentron cornutum,species,
,Sargocentron iota,Sargocentron iota,species,
,Sargocentron melanospilus,Sargocentron melanospilos,species,
,Sargocentron rabrum,Sargocentron rubrum,species,
,Sargocentron rubrum,Sargocentron rubrum,species,
,Sargocentrum tiereoides,Sargocentron tiereoides,species,
,Saurida nebulosa,Saurida nebulosa,species,
,Scalopsis bilineata,Scolopsis bilineata,species,
,Scarus forsteni,Scarus forsteni,species,
,Scarus hypselopterus,Scarus hypselopterus,species,
,Scarus psittacus,Scarus psittacus,species,
,Scarus rubroviolaceus,Scarus rubroviolaceus,species,
,Scarus schlegeli,Scarus schlegeli,species,
,Scarus sp.,Scarus,genus,
,Scarus spilurus,Chlorurus spilurus,species,
,Scarus spinus,Scarus spinus,species,
,Scolecenchelys macroptera,Scolecenchelys macroptera,species,
,Scolopsis bilineatus,Scolopsis bilineata,species,
,Scorpaenidae,Scorpaenidae,family,
,Scorpaenodes corallinus,Scorpaenodes corallinus,species,
,Scorpaenodes kelloggi,Scorpaenodes kelloggi,species,
,Scorpaenodes sp.,Scorpaenodes,genus,
,Scorpaenopsis possi,Scorpaenopsis possi,species,
,Scorpaenopsis ramaraoi,Scorpaenopsis ramaraoi,species,
,Scorpaenopsis sp. 1,Scorpaenopsis,genus,
,Scorpaenopsis vitappinis,Scorpaenopsis vittapinna,species,
,Scorpaenopsis vittapinna,Scorpaenopsis vittapinna,species,
,Scorpaenopsis vittapinna cf (?),Scorpaenopsis vittapinna,species,
,Sebastapistes mauritiania,Sebastapistes mauritiana,species,
,Sebastipus fowleri,Sebastapistes fowleri,species,
,Selar crumenophthalmus,Selar crumenophthalmus,species,
,Soleichthys heterorhinus,Soleichthys heterorhinos,species,
,Soleichthys sp.,Soleichthys,genus,
,Soleichthys sp. 1,Soleichthys,genus,
,Sphaeraena baraccuda,Sphyraena barracuda,species,
,Sphaerana barracuda,Sphyraena barracuda,species,
