"station_code","date_collected","latitude","longitude","depth_m","Antennariidae","Apogonidae","Blenniidae","Gobiesocidae","Gobiidae","Haemulidae","Labridae","Muraenidae","Nemipteridae","Pinguipedidae","Platycephalidae","Pomacentridae","Scaridae","Scorpaenidae","Serranidae","Syngnathidae","Synodontidae","Tetraodontidae","Tripterygiidae","Bothidae","Callionymidae","Chaetodontidae","Pomacanthidae","Pseudochromidae","Congridae","Holocentridae","Ophichthidae","Soleidae","Bythitidae","Cirrhitidae","Solenostomidae","Tetrarogidae","Acanthuridae","Aulostomidae","Balistidae","Chlopsidae","Eleotridae","Monacanthidae","Plesiopidae","Xenisthmidae","Pholidichthyidae","Samaridae","Opistognathidae","Atherinidae","Clupeidae","Ptereleotridae","Synanceiidae","Creediidae","Priacanthidae","Moringuidae","Percophidae","Mullidae","Uranoscopidae","Plotosidae","Opittognathidae","Diodontidae"
"mab_321",2016-04-16,13.687944,120.841333,0.9144,1,7,20,3,30,0,7,18,0,3,0,7,0,2,0,0,0,0,171,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,37,0,0,0,0,37,13,1,1,0,0,0,0,0,0,0,0,0
"mab_332",2016-04-17,13.817944,120.904,16.1544,0,16,0,0,351,0,17,6,2,2,2,128,0,8,13,0,0,0,0,0,2,0,3,3,0,1,0,1,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mab_333",2016-04-17,13.674,120.911028,3.048,0,14,21,0,333,0,9,9,0,0,0,14,0,14,1,10,0,0,78,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"mab_342",2016-04-18,13.659028,120.837389,19.2024,0,14,0,0,133,0,29,7,0,4,4,73,0,8,6,2,4,0,0,0,0,1,5,10,0,0,1,0,7,1,0,0,5,0,1,2,6,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"mab_349",2016-04-20,13.651028,120.841389,39.624,1,7,0,1,38,0,5,0,0,0,1,9,0,2,9,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mab_350",2016-04-20,13.684194,120.8305,1.524,0,24,10,0,23,0,18,5,0,1,0,26,20,5,4,7,0,0,10,0,7,0,0,14,0,0,0,0,1,0,0,0,1,0,0,1,0,0,14,0,0,0,0,0,232,0,0,0,0,1,0,0,0,0,0,0
"mab_355",2016-04-21,13.650917,120.841306,35.6616,0,5,0,0,66,0,19,0,0,0,1,19,0,1,9,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"mab_356",2016-04-21,13.687556,120.832611,21.336,0,23,1,0,409,0,51,11,3,4,3,8,0,4,3,3,6,0,12,0,2,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"sia_03",2016-04-05,9.0473,123.1194,18.288,0,41,0,0,112,0,58,6,0,1,1,111,0,6,15,0,1,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"sia_06",2016-04-05,9.0504,123.1149,9.144,0,34,0,0,49,0,54,2,0,0,0,141,0,1,7,1,4,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sqr_06",2016-04-04,9.1712,123.464,26.5176,0,32,1,0,31,0,24,1,0,0,0,48,0,3,4,0,1,0,0,0,0,2,2,4,0,5,0,0,0,0,0,0,2,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sqr_12",2016-04-08,9.170194,123.465722,13.1064,0,26,0,0,62,0,19,3,0,3,0,109,0,2,2,1,1,0,0,0,0,1,2,10,0,10,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"sqr_15",2016-04-08,9.178722,123.454694,1.524,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"sqr_18",2016-04-10,9.165361,123.476,20.4216,1,19,0,2,196,0,29,1,0,5,0,233,0,11,16,1,4,1,0,0,0,0,7,4,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
"sqr_21",2016-04-10,9.1375,123.514556,4.8768,1,7,10,0,36,0,14,2,1,2,0,41,0,5,5,1,1,1,0,0,0,0,9,1,0,3,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0,11,0,0
"zam_05",2016-04-02,9.139333,123.229833,21.336,0,167,0,1,112,0,126,5,6,7,7,50,5,8,29,1,6,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"zam_08",2016-04-03,9.1044,123.2086,21.336,2,2,10,0,19,0,91,3,0,11,0,15,0,9,2,1,5,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
