complete_name	year_established	core_area_ha	buffer_area_ha
Antipuluan-Taritien Fish Sanctuary	2005	19.954	0
Magallanes Municipal Fish/ Marine Sanctuary	2002	20	21
Bolusao Fish Sanctuary	2000	20	1
Bolusao Fish Sanctuary	2009	20	1
Lout Offshore Reef Marine Sanctuary	2006	20	0
Baybay Lun Padidu Offshore Reef Marine Sanctuary	2006	20	0
Bacayawan Marine Protected Area	2006	20	0
Bibilic Marine Sanctuary	2003	20	0
Calatagan Mangrove Rehabilitation and Nursery Project	2010	20	0
Macabug Fish Sanctuary	2001	20	0
Hingotanan West Marine Sanctuary	2002	20	0
San Juan Fish Sanctuary	2003	20	0
Cagsiay Fish Sanctuary	2005	20	0
Malingin Fish Sanctuary	1994	20	0
Baod Fish Sanctuary	1999	20	0
Pasitagan Sulangon Marine Sanctuary	1999	20	0
Brgy. Maono-Pausod Artificial Reef	0	20	0
Visayan State College of Agriculture Marine Sanctuary	0	20	0
Bacungan Fish Sanctuary	2002	20	0
Jagoliao Seagrass Marine Sanctuary	2002	20	0
Pingan-Pingan Reef Fish Sanctuary	0	20	0
Bongalonan Marine Sanctuary	1985	20	0
Tamiao Marine Sanctuary	1996	20	0
Capayas Island Marine Sanctuary	2000	20	0
Unidad Rizal and Gamut, Barobo Fish Sanctuary	0	20	0
Mandawa Fish Sanctuary	2000	20	0
Libjo/Bucao Fish Sanctuary	2003	20	0
Pilar Fish Sanctuary	1998	20	0
Sibolo Island Marine Sanctuary	1994	20	0
Katadungan Brgy. Punta Maria Fish Sanctuary and Marine Protected Area (prop)	0	20	0
Campao Occidental Marine Sanctuary	2002	20	0
Suba Marine Sanctuary	2004	20	0
Pulong Wala Fish Sanctuary	2002	20	0
Sulangan Marine Sanctuary	1996	20	0
Pamosaingan Marine Sanctuary	2000	20	0
Basud & Maanda Fish Sanctuary	0	20	0
Pandanon Fish Refuge and Sanctuary	2002	20	0
Bugsayon Marine Sanctuary	2003	20	13
Rabaw Ti Bato	2014	20	50
Rabaw Ti Bato	2014	20	50
Dapia Marine Sanctuary	2010	20.13	0
Belatan Halo Fish Sanctuary	2009	20.17	0
Obo-ob Marine Protected Area	2004	20.38	12
Kabac Marine Sanctuary	2006	20.48	0
Bantigue Fish Sanctuary	2005	20.6	0
Virgen Marine Park and Sanctuary	2016	20.6	10.7
Biga Fish Sanctuary and Refuge	2002	20.65	0
Anapog Fish Sanctuary	2002	20.8	0
Ungus-Ungus Marine Protected Area	2007	20.9	0
Dugong Sanctuary	2010	20.93	0
Merida Fish Sanctuary	0	21	0
Agdao Centro Fish Sanctuary	2007	21	0
Real Marine Sanctuary Dev't Project	0	21	0
San Isidro Marine Sanctuary	2000	21	0
Kandiis Marine Sanctuary	2000	21	0
Cagasawan Seagrass Sanctuary	2000	21	0
Lain Marine Reserve and Fish Sanctuary	1996	21.1	1
Dumana Marine Sanctuary	1996	21.3	0
Olang Marine Protected Area	2003	21.36	0
Bogo Marine Protected Area	2002	21.36	0
Imnajbu Marine Sanctuary	0	21.525	0
Capandan Marine Protected Area	2003	21.53	0
Mawi Marine Sanctuary	2003	21.56	0
Municipal Fish Sanctuary	2011	21.6	0
Nueva Estrella Fish Sanctuary	2003	21.619	0
Masaguisi Fish Sanctuary	2006	21.68	0
Hingotanan East Marine Sanctuary	2002	21.7	0
Langkis Marine Sanctuary	1999	21.79	0
Basco Community Marine Sanctuary	2005	21.85	0
Banbanon Fish Sanctuary	1999	21.99	0
Talisay Marine Sanctuary	2002	22	0
Tubajon MPA	2002	22	0
Liboron Seagrass Sanctuary	1996	22	0
Semirara Island Marine Sanctuary	1998	22	0
Kaongkod Marine Sanctuary	1996	22	0
Combo Marine Sanctuary	2006	22	0
Capitancillo, Bogo CEP	2004	22	0
Liboganon MPA	2005	22	0
Santa Fish Sanctuary	2007	22	0
Taguite Fish Sanctuary	1994	22.1	1
Taguite Marine Sanctuary	1996	22.2	0
Bool Fish Sanctuary	2000	22.2	0
Cabantian Marine Sanctuary	2003	22.22	0
Mahayag Marine Reserve Area	2003	22.5	0
Daan-Lungsod and Guiwang Marine Sanctuary	2002	22.71	0
Luban MPA	0	22.83	0
Twin Rocks Marine Sanctuary	1991	22.91	0
Campalabo Marine Reserve/Sanctuary	2002	23	0
Punta Ilag Fish Sanctuary	2009	23.1	0
Malatgao-Taritien Fish Santuary	2005	23.3322	0
Luyang Fish Sanctuary	2003	23.34	0
Liaburan Fish Sanctuary	2009	23.38	0
Bacawan Fish Sanctuary	2006	23.44	0
Arena Island Fish Sanctuary	2005	23.455	0
Santo Rosario Fish Sanctuary	2001	23.49	0
Darumawang Bukana Fish Sanctuary	2007	23.6	0
Bagacay Fish Sanctuary	2000	23.61	0
Majigpit Marine Sanctuary	2000	23.61	0
Balingasay Marine Sanctuary	1997	24	0
Tayong Occidental Marine Sanctuary	2003	24	0
Panglit Marine Protected Area	2007	24	91
Babatngon Fish Sanctuary (Calangawan Is.)	1991	24	0
Punta Marine Sanctuary	0	24	0
San Roque Fish Sanctuary	0	24	0
Candaping B Marine Protected Area	1996	24.2	0
San Ignacio MPA and Marine Sanctuary	0	24.25	0
Tulapos Marine Sanctuary	1987	24.45	0
Barangay Sinapsapan Marine Protected Area	2017	24.46	0
Panaloytoyon Fish and Marine Sanctuary	2000	24.65	0
Tag-anongan Marine Sanctuary	2003	24.78	0
Jandayan Norte Fish Refuge and Sanctuary	2002	24.86	0
Balibadon Fish Sanctuary	2003	24.87	0
Unidos Marine Sanctuary	2007	25	1
Baud Marine Sanctuary	1993	25	0
Hibotkan Rock Sanctuary	1995	25	0
Lamintao-Pasil Area Sanctuary	2004	25	0
Bel-is Fish Sanctuary and Fishery Reserve	2004	25	0
Bato-Tagatay Reef Fish Sanctuary	2001	25	0
Poblacion Fish Sanctuary	1985	25	0
Coastal Resource Mgt. & Marine Reserve	0	25	0
Bato Seagrass and Fish Sanctuary	2003	25	0
Sacol Fish Sanctuary	2006	25	0
Pilar Island Fish Sanctuary No. 2	0	25	0
Butan Marine Sanctuary	1993	25	0
Lambug Seagrass and Fish Sanctuary	2003	25	0
Manapa Fish Sanctuary	1996	25	0
Boac Community Marine Sanctuary	2002	25	0
Sag-ang Fish Sanctuary	1992	25	0
Brgy. Malingon Marine Sanctuary Project	0	25	0
Pasil Seagrass System	0	25	0
Binay-Palihon Island Fish/ Marine Sanctuary	2000	25	0
Bato Marine Protected Area	2008	25	0
PNOC Fishery Reserve Area	2001	25	0
Ligaya Reef Sanctuary	2008	25	0
Orion Kent Fish Sanctuary	1994	25	0
Buenavista Fish Sanctuary	2002	25	0
Ingan Fish Sanctuary	2000	25	0
St. Peter the Rock Fish Sanctuary	2010	25.10839993	0
Brgys. Calogan & Sta. Nino Artificial Coral Reefs (Gango)	0	25.13	0
Malabrigo Fish Sanctuary and Refuge	2002	25.18	0
Colayo MPA	2004	25.3	0
Tinaogan Marine Reserve	1988	25.3	0
Maslog Fish Sanctuary	2002	25.4	1
Maglog Fish Sanctuary	2002	25.4	0
Pagudpud (Dos Hermanos) Fish S	2008	25.77	0
Pagudpud (Bantay Abot-Kimallugong) Fish Sanctuary	2008	25.93	0
Dadatan Marine Protected Area	2010	26	0
Tantanang Bay MPA	2005	26	0
Sabang Fish Sanctuary	2004	26	0
Gosong Reef Fish Sanctuary	2011	26.046	0
Sagasan-Marcos Village (SaMVil) Marine Protected Area	2006	26.141	0
Tubod Mar Marine Sanctuary	2001	26.22	0
Camp Downes Fish Sanctuary	2005	26.48	0
Apale and Tolingon Fish Sanctuary	1999	26.5	0
Lumayag Marine Park	1989	26.5	0
Taongon Can-andam Marine Sanctuary	1999	26.5967	0
Taug-Tiguis Marine Sanctuary	2001	26.7	0
Caub Marine Sanctuary	2014	26.7	24.8
Labog Marine Protected Area	2008	26.922	0
Kinawahan Fish Sanctuary	2003	27	0
Laoag, Lomboy and Camiing sanctuary	2011	27	162
Buenavista Marine Protected Area	2006	27	0
Puntod Reef Fish Sanctuary	2005	27.242	0
Pasil Reef Marine Protected Area	2011	27.26	0
Ipil Fish Sanctuary	2009	27.41	0
Ubay Marine Protected Area	2006	27.5	0
Santiago MPA	0	27.61	0
Bitoon Marine Sanctuary	1997	27.85	0
Iniban Marine Sanctuary	1996	27.86	0
Placer Marine Sanctuary Project	2013	27.9	0
Gui-ob Fish Sanctuary	1991	28	0
Ayoke Island Marine Protected Area	2005	28	0
Linawan Municipal Fish Sanctuary	1999	28	0
Concepcion Marine Reserve, Ruyukan Channel	2006	28	0
Canhabagat Marine Park	2003	28	0
Mabua Marine Protected Area	2006	28	0
Bangongbanwa Marine Reserve and Sanctuary	1992	28	0
Culasian-Teniapan (CuTe) Marine Protected Area	2006	28	0
Malalison Island Marine Sanctuary	1991	28	0
General Island Marine Protected Area	2005	28	0
Poblacion MPA	2008	28	0
Calagcalag Fish Sanctuary	1988	28	0
Son-ok Fish Sanctuary	1995	28	0
Concepcion Marine Protected Area	2002	28	0
Bagonbanua Marine Reserve and Sanctuary	1998	28.31	1
Carenahan Fish Reserve	2003	28.37	0
Tagaliling Marine Protected Area	2011	28.79	0
Lakyajon Marine Sanctuary	2009	28.887	0
Basiao Point to Kasag Point at Lapinig	0	29	0
Isla Sto. Nino Brgy. Aldana Manila Bay	0	29	0
Calibunan Marine Sanctuary	1997	29	0
Cabadbaran Fish Sanctuary	1997	29.0386	0
Tagudtungan Fruit Bats, Seagrass and Coral Reef Sanctuary	0	29.04	0
Cahayagan Marine Fish Sanctuary	2003	29.04	0
Julita Fish Sanctuary	2008	29.1542	0
Agpangi Fish Sanctuary	2004	29.5	0
Mampio Marine Sanctuary	2009	29.52	0
Surip-Olanen Marine Protected Area	2004	29.7	0
Betaug Reef Fish Sanctuary	1996	29.95	0
Baobaon Fish and Marine Sanctuary	2002	30	0
Ando Fish Sanctuary	2002	30	0
Nabungsod Island Marine Reserve	2000	30	0
Salvacion/Inasan Maete Reef	2007	30	0
Brgy. Burgos Marine Sanctuary Project	0	30	0
Kasay MPA	2006	30	100
Imba Fish Sanctuary	1989	30	0
Brgy. Cabac Marine Sanctuary & Reserve Dev't	0	30	0
Fortune Island Tourist Zone & Marine Reserve	1978	30	0
Puting Balas Marine Protected Area	2003	30	0
Sta. Rosa Fish Sanctuary	1997	30	0
Pasig Reef Fish Sanctuary	2000	30	0
Tujod Fish Sanctuary	2006	30	0
Hilantagaan Diyut Marine Sanctuary	2006	30	0
Villareal Lampirong Reserve	2003	30	0
Danlagan Fish Sanctuary	2005	30	0
Camudmud Marine Protected Area	2010	30	0
Tindog Marine Sanctuary	1993	30	0
Guinhawa Fish Sanctuary	2000	30	0
Caorasan Fish Sanctuary & Marine Reserve	2005	30	0
Nasingin Marine Sanctuary	2002	30	0
Paclasan Fish Sanctuary	2012	30	0
New Argao Fish Sanctuary	2003	30	0
Stella Mariz Fish Sanctuary	2013	30.12	0
Burabod Gamay Fish Sanctuary and Fishery Reserve	2006	30.3203	0
Mantatao Marine Sanctuary	2003	30.39	0
Colon Marine Sanctuary	2006	30.68	0
Pagudpud (Saud-Caparispisan) Fish Sanctuary	2008	30.86	0
Hingutungan Fish Sanctuary	2000	31.01	0
San Antonio MPA	0	31.05	0
Brgy. Malcampo Marine Protected Area	2007	31.6	2551.6
Tagana-An Marine Sanctuary	2010	31.726	20.746
Guiwanon Marine Sanctuary	2000	31.8	0
Buan Fish Sanctuary	2009	31.84	0
Batong Diyut Marine Sanctuary (Brgy. Luyang)	1997	31.98	0
Laiya Ibabao Submarine Garden Marine Reserve	2006	32	0
Busogon Fish Sanctuary	2003	32	0
Divinubo Fish Sanctuary	2002	32	0
Victoria Fish & Seagrass Sanctuary	2003	32	0
Tambongon Fish Sanctuary	2003	32	0
San Pedro Fish Sanctuary	2000	32	0
Hilotongan Marine Protected Area	2007	32	0
Villa Enage Fish Sanctuary	2006	32.4126	0
Ambao Fish Sanctuary & Marine Reserve	2000	32.5	0
Tagkuti Reef Fish Sanctuary	0	32.68	0
Libertad Marine Protected Area	2005	33	1
San Isidro Marine Fish Sanctuary	2008	33	0
Cayam-Malinao Marine Sanctuary	2001	33	0
Libertad Marine Sanctuary	2002	33	0
Pagudpud (Puro) Fish Sanctuary	2008	33.33	0
Ichon - Amparo Marine Protected Area	2014	33.34	0
Batabat Coral Reef Reserve	1997	33.47	0
Santa Cruz Marine Sanctuary	2004	33.51	0
Villa Libertad Mangrove Management Area	2008	33.7	0
Betaog Fish Sanctuary	2002	34	1
Can-Usod Fish Sanctuary	2003	34	1
Sibukwan Marine Sanctuary	2002	34	0
Telbang PLS /Marine Protected Area	1993	34.09	0
Port Lamon Fish Sanctuary	1999	35	0
Baguan Island Marine Turtle Sanctuary	1982	35	0
Poblacion Marine Protected Area	2002	35	0
Palo Fish Sanctuary (Brgy. Paras)	0	35	0
Nogas Island Fish Sanctuary	1993	35	0
Tulang Marine Fish Sanctuary	2003	35	0
Burgos Fish Sanctuary	2002	35	0
Burgos Fish Sanctuary	2002	35	0
San Pablo Marine Sanctuary	2012	35	0
Ragnas Marine Protected Area	2012	35	0
Siay Seagrass Mangrove Protected Area	2011	35	30
San Pablo Fish Sanctuary	1999	35	0
Cogon Marine Protected Area	2009	35.13	170.47
Conalum Marine Sanctuary	1996	35.67	0
Puertobello Marine Sanctuary	2004	36	1
Bontangige Marine Sanctuary	2003	36	0
Santos Reef Marine Sanctuary	2007	36	0
Brgy. Bonifacio Aquino Marine Protected Area	2000	36	0
Guinbirayan Fish Sanctuary	1995	36	0
Barobaybay Fish Sanctuary	2004	36	0
Pacao Marine Reserve Area	0	36.08	0
Brgy.Tumarbong Marine Protected Area	2007	36.43	1896.43
San Isidro Reef	2010	36.48	0
Bucana Community-Managed Marine Area	2009	36.6	0
Punta Dumalag Marine Protected Area	2007	37	0
Gata Fish Sanctuary	2011	37.362	0
Harka Piloto Fringing Fish Sanctuary	2003	37.44	1
Pinamgo Marine Sanctuary	2000	37.8	0
Igang Bay Marine Sanctuary	2016	38.16	0
Puertobello Fish Sanctuary	2004	39.1	0
Sumilon Island Fish Sanctuary	1980	39.753	0
Calaguas Islands Fish Sanctuary	2006	40	1
Calanga Marine Sanctuary	2005	40	0
San Antonio, New Tambo, Tuburan and Uno Fish Sanctuary	0	40	0
Gubat Marine Reserve	2001	40	0
Tinaytay Reef Fish Sanctuary	1996	40	0
Panduma-Alindahaw-Lower Bayao-San Carlos (PALS) Marine Protected Area	2004	40	0
Nagpawikan Reef Fish Sanctuary	2009	40	0
Cotmo & Pinamasagan	0	40	0
Sabang Reef Fish Sanctuary (Binduyan)	2002	40	0
Pacatin Fish Sanctuary	2001	40	0
Antipolo Marine Reserve	2001	40	0
Sto. Nino-Basiawan Fish Sanctuary	1999	40	0
Danao Marine Sancuary	2007	40	0
Maujao Fish Sanctuary	2009	40	0
Gubat Marine Reserve and Fish Sanctuary	2012	40	50
Limasawa Fish Sanctuary	2008	40	0
Taytayen Etayo Marine Reserve	2009	40.49	0
Campalabo Reef	2010	40.96	0
San Miguel Bay	0	41	0
Tenga Fish Sanctuary	2005	41.0998	0
Silonay Mangrove Reserve	2010	41.3	0
Puno Point Marine Reserve	1994	41.4	0
Esperanza Marine Sanctuary	2004	42	1
Tapul Reef Fish Sanctuary	0	42	0
Hulao-hulao Fish Sanctuary	1996	42	32
Poblacion Fish Sanctuary	2003	42	0
Balabag Marine Sanctuary	2009	42.04	0
Bani Mangrove Marine Protected Area	2001	42.25	0
Takot Siari MPA	2003	42.5	0
Nakanmuan Marine Sanctuary	0	42.626	0
Mabahin Fish Sanctuary	1997	42.8498	0
Uba  Marine Protected Area	2005	43	0
Batong Buhay Marine Sanctuary	2009	43	0
Sitangkai North Lagoon Marine Protected Area	2006	43.17	0
Tinagong Dagat Marine Protected Area	2005	43.25819	0
Lomboy-Kahayag Fish Sanctuary	1999	43.28	0
Lobo Mangrove Forest Conservation Area	2001	43.54	0
Kagana Marine Protected Area	2001	43.6	78.94
Capasuan Vatang-Charakuhan Marine Sanctuary	0	43.745	0
Kamanga Marine Ecotourism Park and Sanctuary	2006	43.85	0
Tanghaligue Marine Sanctuary	2000	43.9	0
Tondon Fish Sanctuary	2007	43.97	0
Monbon Fish Sanctuary	1995	44.1	1
Bagasawe Marine Reserve & Fish Sanctuary	2002	44.21	0
Sanktuwaryo Sancedaco Marine Protected Area	2004	44.3	0
Poro Marine Protected Area	2014	44.42	0
Bilang-Bilangan East Marine Sanctuary	2000	44.8	0
Doh Tong Marine Protected Area	2005	44.89	0
Tanza Fish Sanctuary	2009	45	0
Dos Hermanas Is. Marine Park/Reserve	0	45	0
Cambatong Fish Sanctuary	1998	45	0
San Isidro Labrador Fish Sanctuary	2016	45	0
Bahurang Tapat Fishery Reserve	2010	45.17144	0
Ikaduha or Pangaduha Reef FS	2002	45.36	0
Minara Marine Protected Area	2014	45.82	658.04
Mantalip Marine Reserve	2007	46	0
Tagbacong Reef Fish Sanctuary	0	46.07	0
Bacacay MFR	2006	46.25	0
Binubusan Marine Protected Area	2015	47.457	0
Biasong Fish Sanctuary	2003	47.5	0
Mabudo Fish Sanctuary	2002	48	1
Mulanay Fish Sanctuary	2005	48	0
Rawis Reef Marine Sanctuary	2009	48	0
Bakong Ibaba Fish Sanctuary	2001	48	0
Puntod Ilis Fish Sanctuary (Babuyan)	2003	48	0
Budiong FS	2000	48	0
Bulanit Marine Protected Area	2006	48	0
San Pedro Marine Protected Area	2005	48	95
Panacalan MPA	2002	48.59	0
Cagban Marine Fish Sanctuary	2002	48.77	0
Brgy. Cogon Punta Biao Fish Sanctuary	2004	49	0
Bato Tabao Coral Reef Fishery Refuge and Sanctuary	2011	49	0
St. John the Baptist Fish Sanctuary	2010	49.38	0
Brgy Lumaniag Marine Protected Area	2011	49.92	0
Baler Marine Protected Area	2006	50	50
Julien's Wreck Marine Reserve and Sanctuary	2013	50	0
Catmon Marine Protected Area	2000	50	0
Putingbuhangin Marine Protected Area	2000	50	0
Catmon Mangrove Protected Area	2000	50	0
Imelda Mangrove Protected Area	2000	50	0
Hagonoy Fish Sanctuary	1998	50	0
Bolinao Reefs and Santiago/Silaqui Is. Marine Park/Reserve	0	50	0
Catanauan Fish Sanctuary	0	50	0
Tuban-Tagabuli Fish Sanctuary	2005	50	0
Triton Island Fish Sanctuary	1996	50	0
Eastern Cabul-an Marine Sanctuary	2002	50	0
Banacon Island Marine Sanctuary	2002	50	0
Prape Fish Sanctuary	1993	50	0
Libaong (Handumon) Marine Sanctuary	1995	50	0
La Fraternidad Tubay Fish Sanctuary	0	50	0
Anajao Island Fish Sanctuary	1994	50	0
Olotayan Island Marine Sanctuary	2002	50	182
Artificial Reef, Fish Reservoir & Reforestation	0	50	0
Mayao Castillo Fish Sanctuary	2003	50	0
Arew and San Isidro Marine Sanctuary	0	50	0
Layangan Fish Sanctuary	0	50	0
Malalag Fish Sanctuary	1993	50	0
Waling-waling Fish Sanctuary	0	50	0
Buburay Marine Protected Area	2005	50	0
Sayucao Fish Sanctuary	0	50	0
Western Cabul-an Marine Sanctuary	2000	50	0
Kapigtaan Masao Fish Sanctuary	0	50	0
Dimalooc Cove Fish Sanctuary	0	50	0
Sitio Magom Macambol Mati Fish Sanctuary	0	50	0
Nagolon Island Fish Sanctuary	1997	50	0
Puntod Reef MPA	2004	50	0
Seco Island Marine Sanctuary	1993	50	0
Estaca Mangrove/Fish Sanctuary	0	50	0
Balasinon Fish Sanctuary	1997	50	0
Liangan Cove Fish Sanctuary	1993	50	0
Agay-ayan and Caloco Marine Sanctuaries	2006	50	48
Asinan Fish Sanctuary	2000	50	0
Batulaki Marine Protected Area	2000	50.64	0
Palo Fish Sanctuary	2001	51	0
Brgy. Tuban Marine Protected Areas	2007	51.5	0
Buenavista Community Marine Protected Area	2013	51.521	92.161
San Isidro Marine Sanctuary	2003	51.56	0
Canticlan Island (Pearl Island) Guiuan	1998	52	1
Aguining Fish Sanctuary	1993	52	0
Siete Pecados Marine Park	2005	52	0
Batu-Batu-Kulape MPA	2005	52.33	0
Sebaste Shoal Marine Sanctuary	2000	52.43	1
Matabao Marine Sanctuary	2011	52.6	15
Matabao Fish Sanctuary	2011	52.6	0
Manda Island Marine Protected Area	2007	52.61	0
Cutad - Pico de Loro Marine Reserve	2009	52.62	0
Apalan Marine Reserve & Fish Sanctuary	2000	53	0
Kayreyna Marine Protected Area	2015	53.057	0
Tuka Marine Park, Reserve and Sanctuary	2006	53.305	0
Pilar Island Fish Sanctuary No. 1	0	54	0
Capinahan Marine Sanctuary	2014	54.01	0
Mitri Community-Managed Marine Area	2009	54.6	0
Bonbon Marine Sanctuary	2013	54.7	0
Pagudpud (Pimmaga) Fish Sanctuary	2008	54.86	0
Sta. Cruz Community Marine Reserve	2008	55.128	139.78
Tigao Fish Sanctuary	1996	55.31	0
Oroquieta City Marine Sanctuary	1999	56	0
Barangay Dolores Marine Fish Haven	2014	56.51	0
Carabao Island Fish Sanctuary	2015	56.8	0
Dibutunan Marine Protected Area	2006	57.71	0
Lanuza Marine Park and Sanctuary	2002	58	0
Dao Dao Island Marine Protected Area	2007	58	0
Mahanay Marine Sanctuary	1997	59	0
Naic Fish Sanctuary	2003	59.3	0
Tu-balan Cove	2003	60	0
Lapinig Island Fish Sanctuary	1986	60	0
Kalaparan Coral Reef Protected Area	2002	60	0
Bolinao Seagrass Reserve	2007	60	0
Bagsak, Central Fish Sanctuary	0	60	0
Pandan Grande Sanctuary	2008	60	0
Calatagan Pyramid Artificial Reef Marine Protected Area	2000	60.03	0
Pasadena Community-Managed Marine Area	2008	60.6	0
Song of the Sea Fish Sanctuary	2013	60.61	0
Corong-Corong Reef Fish Sanctuary	2010	60.9	0
Roseller T. Lim Marine Protected Area	2006	62	50
Municipal Fishery Reserve and Sanctuary of Tigaon	2010	62.2	0
San Jose Artificial Reef Project	0	63	0
Buluan Island Marine Sanctuary	2006	63.16	20
Kaeyoy Marine Protected Area	2002	63.2	0
Loyola Fish Sanctuary	1999	63.5	0
Maloong Canal Shoal MPA	2007	64	144
Bintuan Sangat Marine Park	2004	64	0
Bani Marine Protected Area	2006	64.43	0
Pandan No Take Zone	2007	64.5	0
Campomanes-Ballo Marine Reserve and Sanctuary	2013	66	1
Palm Reef Marine Reserve and Sanctuary	2003	66	0
Burgos Reef Sanctuary	2008	67.68	0
Sta. Cruz Seagrass Sanctuary	2003	67.72	0
Lagasan-Pababag Marine Protected Area	2005	68.79	0
Villahermosa Marine Sanctuary	2004	69.3	0
Dapdap Esperanza Marine Sanctuary and Mangrove Reserve	2012	70	0
Lacson Reef Marine Sanctuary	2007	70	0
Adlay Marine Protected Area	2006	70	0
San Juan (Pagpisotan) Fish Sanctuary	1997	70	0
Misom Sanctuary	0	70	0
Carrascal Marine Protected Area	1999	70	0
Shellfish Reservation Zone	2002	70	0
Lumbal Fish Sanctuary	0	70	0
Badiang Fish Sanctuary	1999	70	0
Ipil Marine Reserve Area/ Fish Sanctuary	2005	70.2	0
Atulayan Bay Fish Sanctuary and Marine Reserve (Site I)	1993	70.36	72.28
Pangyan Marine Protected Area	2000	70.41	0
Tres Marias Marine Sanctuary	2007	70.8	0
Caretunan-Quilitisan Joint MPA	2000	71	0
Humay-humay Marine Sanctuary	0	71.2	0
Bilang-Bilangan West (Daku)	2000	71.9	0
Atulayan Island Fish Sanctuary (Site II)	1993	72	0
Baruarte-Bataan-Nagsaulay-Subukin Mangrove Protected Area	2000	73	0
Ticalan Marine Protected Area	2000	73	0
Badung-Badung Island Marabut (Western) Fish Sanctuary	0	73	0
Parunponon Island Fish Sanctuary (Manalo)	2000	74	0
Badung-badong Fish Sanctuary	1992	74	0
Atop-Atop Marine Sanctuary	1996	74.22	0
Looc Fish Sanctuary	2009	74.4	0
Macrohon - Santa Cruz Marine Park Bird and Fish Sanctuary	1996	74.96	37.32
Calucub 1st Marine Protected Area	2000	75	0
Lorong Panay Fish Sanctuary	0	75	0
Danan Fish Sanctuary	0	75	0
Lunib Fish Sanctuary	0	75	0
Dimataling Municipal Marine Protected Area	2006	75	0
Burgos Bird and Fish Sanctuary	1998	75.6	0
Dabong Island Fish Sanctuary	2005	75.622	0
Banilad Fish Sanctuary	2011	76	0
Buloc-buloc Cove Marine Protected Area	2016	77	0
San Miguel Marine Protected Area	2003	77	622
Pandan Piqueno Sanctuary	2008	78	0
Cawili Bird and Marine Sanctuary	2004	78.81	0
Abung Marine Protected Area	2006	80	0
Mahabang Buhangin Cove Fish Sanctuary and Refuge	2011	80	486.2
Discovery Reef	2008	80	0
Brgy. Rizal Marine Protected Area	2007	80	1333
Agsalin Fish Sanctuary	2004	80.13	0
Tambong Fishery Reserve	2013	80.4	0
Gasan Community Marine Reserve	1997	82	1739
Gaas Bay Marine Protected Area	2005	82	0
Dalipe Point/ Bintanang Bato	2008	82	0
Palaypay Cove Fish Sanctuary	2006	82.79	0
Nalasuan Island Marine Sanctuary	2002	83.12	0
Borongan Fish Sanctuary	1997	84	0
Jordan Municipal Marine Reserve and Sanctuary for All Marine Life including  Sea Turtles	1997	84.9	0
Nabangka Fish Sanctuary	2001	85	0
Pagadian City Marine Protected Area 2 (Lalas)	2008	85.44	0
Donsol Marine Conservation Park	2007	86	227
Tibu- Tabu Marine Protected Area	2006	87	0
Tubig Kuppiya Marine Protected Area	2006	87.42	0
Uson-Bariis Marine Sanctuary	2006	87.9004	0
Ormoc Bay	0	87.93	0
Pagadian City Marine Protected Area 1	2001	88	0
Culasian Fish Sanctuary	1991	88.5	0
Tamauyan Reef Fish Sanctuary	2006	89.37089376	0
Teneguiban Fish Sanctuary	2007	91.6	0
Brgy. Ermita Marine Protected Area	2005	96	39
Dansulao Marine Protected Area	2004	98	14
Monching Siay Artificial Coral Reef	0	100	0
Nasidman Islan Sanctuary	2004	100	0
Tanza Artificial Reef Project	0	100	0
Brgy. Biasong Mangrove Protection and Rehabilitation and Fish Sanc. (prop)	0	100	0
Caraga Fish Sanctuary	2002	100	0
Paradang Goma, Pulong Bato Fish Sanctuary	2003	100	0
Pulo-Pina MPA	2005	100	0
Mapanas Bay Marine Resource Dev't Project	0	100	0
Ginasian Daku Island Fish Sanctuary	2004	100	0
Looc Marine Reserve	2006	100	0
Sumalig, Tambulig Fish Sanctuary	0	100	0
Ginasian Diutay Island Fish Sanctuary	2004	100	0
Maguiring and Sogod Fish Sanctuary	0	100	0
Maculay Fish Sanctuary	1998	100	0
Murcielagos Island Protected Landscape and Seascape	2000	100	151
Tan-Luc Marine Protected Area	2012	100	0
Kalampisaw at Elet Marine Sanctuary	2004	102.23	0
Danjugan Island Marine Reserve and Sanctuaries	2000	102.4	0
Aquino-Ondoy Marine Fish Sanctuary and Fishery Reserve	2004	102.85	0
Tambunan Marine Sanctuary	2002	103	0
Tambunan Marine Protected Area	2003	103.5	0
Receiving Reef	2008	103.58	0
Taracan Marine Protected Area	2000	104	0
Lipata II Marine Protected Area	2008	104.2	0
Dinas Marine Protected Area	2000	106	0
Caalan Marine Protected Area	2008	107.1	0
Caalan Community-Managed Marine Area	2008	107.1	0
Salong-Calero Seagrass and Corals Marine Protected Area	2016	107.6	0
Sogod Bay	0	108	0
Sagrada-Bogtong Marine Protected Area	2006	109	392
Naro Mangrove Wilderness Area	2000	109.98	0
Matungao Fish Sanctuary	0	110	0
Awasan Fish Sanctuary (Awasan Reef)	2001	112	0
Capoocan Fish Sanctuary	1991	112.2	0
Laiya Ibabao Seascape NTZ	2006	113	0
Pilar Marine Fish Sanctuary	2013	114	0
Casintan Marine Protected Area	1999	115.83	1
Talaga ""Leek"" and Manukan Island  Marine Sanctuary	2004	116.76	0
Subic Municipal MPA	2011	118	96
Berong Marine Protected Area	0	118.2	6083.59
San Antonio & Salingogon Fish Sanctuary	2000	119	0
