"station_code","specimen_count","verified_identification","lowest_tax_cat","adjusted_latitude","adjusted_longitude","locality","field_number","province_state","island_group","island","bottom","depth_m","study"
"mab_356",4,"Ostorhinchus cyanosoma","species",13.687556,120.832611,"Batangas, Tingloy, SW tip of Maricaban I., ""MYC"" (Mabini Yacht Club) [painted on a rock]","MAB-356","Batangas","Zapato Is.","Maricaban I.","sand, rock, sparse coral","45 - 70 ft.","cas_2016"
"mab_319",2,"Ostorhinchus fleurieu","species",13.688167,120.827278,"Batangas, Tingloy, Sepok (dive site)","MAB-319","Batangas",NA,"Luzon I.",NA,"85 ft.","cas_2016"
"mab_332",2,"Pristiapogon fraenatus","species",13.817944,120.904,"Ligpo (dive site)","MAB-332","Batangas",NA,"Luzon I.","base wall, coral & sand","40 - 53 ft.","cas_2016"
"sqr_15",5,"Ostorhinchus hoevenii","species",9.178722,123.454694,"Siquijor I., Tambesan","SQR-15","Siquijor",NA,"Siquijor I.","short seagrass","0 -5 ft.","cas_2016"
"zam_05",1,"Ostorhinchus multilineatus","species",9.139333,123.229833,"Zambanguita, Mojon dive site","ZAM-05","Negros Oriental",NA,"Negros I.","coral, rubble, sand","33 - 70 ft.","cas_2016"
"sqr_09",1,"Ostorhinchus multilineatus","species",9.1787,123.4545,"Central Visayas Region, Siquijor I., San Juan, Agak-ak Point","SQR-09","Siquijor",NA,"Siquijor I.","mostly sand, some rock & algae",NA,"cas_2016"
"sia_06",1,"Ostorhinchus multilineatus","species",9.0504,123.1149,"Siaton, Tambobo (dive site)","SIA-06","Negros Oriental",NA,"Negros I.","coral sand","20 - 30 ft.","cas_2016"
"dau_09",5,"Ostorhinchus multilineatus","species",9.195861,123.274139,"Dauin, VIP Resort reef","DAU-09","Negros Oriental",NA,"Negros I.","coral & sand","30 - 50 ft.","cas_2016"
"dau_15",3,"Ostorhinchus multilineatus","species",9.2011,123.2793,"Negros I., Dauin, San Miguel dive site","DAU-15","Negros Oriental",NA,"Negros I.",NA,"79 ft.","cas_2016"
"dau_18",1,"Ostorhinchus multilineatus","species",9.196639,123.275111,"Negros I., Dauin, VIP reef","DAU-18","Negros Oriental",NA,"Negros I.","sand w/ some seagrass; slope w/ outcrops","19 ft.","cas_2016"
"mab_319",3,"Ostorhinchus multilineatus","species",13.688167,120.827278,"Batangas, Tingloy, Sepok (dive site)","MAB-319","Batangas",NA,"Luzon I.",NA,"85 ft.","cas_2016"
"mab_321",1,"Ostorhinchus multilineatus","species",13.687944,120.841333,"Batangas, Tingloy, between Maricaban & Caban Islands, off Caban I., Layag-Layag.","MAB-321","Batangas",NA,"Caban I.",NA,"0 - 3 ft.","cas_2016"
"mab_333",1,"Ostorhinchus multilineatus","species",13.674,120.911028,"Batangas, Bauan, between Ligpo and Dive & Trek.","MAB-333","Batangas",NA,"Luzon I.","rock intertidal surge channels","0 - 10 ft.","cas_2016"
"mab_350",1,"Ostorhinchus multilineatus","species",13.684194,120.8305,"Batangas, Tingloy, SW tip of Maricaban I., Cemetery (dive site)","MAB-350","Batangas","Zapato Is.","Maricaban I.",NA,"0 - 5 ft.","cas_2016"
