SI_78-79_0-2m	*SampleSet*	1	1	1															
454	19																		
	SP_78-37A	SP_78-22	SP_78-1	SP_78-12	SP_78-15	SP_78-17	SP_78-19	SP_78-32	SP_78-37B	SP_78-42	SP_78-5	SP_78-8	JL-5	LK_79-11	LK_79-12	LK_79-15	LK_79-17	LK_79-18	LK_79-14
Hologymnosus annulatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Leptoscarus vaigiensis	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Platybelone argalus platyura	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rhinecanthus aculeatus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Salarias fasciatus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	1
Salarias guttatus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Scarus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Thalassoma amblycephalum	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Valenciennea longipinnis	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
Xenojulis margaritaceus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Anampses meleagrides	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Halichoeres marginatus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Ostorhinchus hartzfeldii	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Parascorpaena picta	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Thalassoma quinquevittatum	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Alionematichthys suluensis Moller & Schwarzhans	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Amphiprion clarkii	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Halichoeres podostigma	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Ostorhinchus cookii	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Pervagor janthinosoma	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0
Thalassoma	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Thalassoma lunare	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	14	0	0	0
Canthigaster valentini	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Myripristis violacea	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Thalassoma purpureum	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Ablabys taenianotus	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0
Cheilinus	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Cheilio inermis	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Blenniella periophthalmus	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Dendrochirus brachypterus	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Nectamia fusca	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Ostorhinchus taeniophorus	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Pteragogus flagellifer	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Ostorhinchus hoevenii	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Synchiropus ocellatus	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0
Cheilinus oxycephalus	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Ostorhinchus cyanosoma	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
Calotomus spinidens	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
Parapercis cylindrica	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	4	0	0	0
Dascyllus trimaculatus	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	4	0	0	0
Sargocentron punctatissimum	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
Halichoeres margaritaceus	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0
Atherinidae	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0
Choeroichthys brachysoma	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Corythoichthys intestinalis	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Gymnapogon	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Halichoeres miniatus	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Lethrinus harak	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Priolepis fallacincta Winterbottom & Burridge	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Priolepis pallidicincta Winterbottom & Burridge	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pseudupeneus indicus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Atherion	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Fowleria variegata	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Gnatholepis davaoensis	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0
Hyporhamphus quoyi	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Halichoeres papilionaceus	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Hypoatherina temminckii	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Dinematichthys iluocoeteoides	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0
Pomacentrus alexanderae	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Rhinecanthus verrucosus	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Siganus fuscescens	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
Halichoeres binotopsis	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0
Apogon	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4
Bathygobius fuscus	0	0	0	0	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0
Sphyraenidae	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Acentrogobius signatus	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Amoya moloanus	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Antennarius coccineus	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
Asterropteryx	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0
Callionymus	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
Callogobius hastatus McKinney & Lachner	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Cristatogobius	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
Ctenochaetus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Dischistodus melanotus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0
Eleotris melanosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	1	104	0	999	94	30
Epinephelus coeruleopunctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Epinephelus corallicola	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Exyrias belissimus	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0
Gladiogobius ensifer	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0
Mugilogobius zebrina	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Oxyurichthys cornutus	0	0	0	0	0	0	0	0	0	0	0	0	0	17	58	0	365	3	8
Oxyurichthys ophthalmonema	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Sphyraena barracuda	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Yongeichthys criniger	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	23	0	0
Brachygobius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Caragobius urolepis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	45	0	0
Cynoglossus puncticeps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Foa fo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
Glossogobius aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0
Mahidolia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Oxyeleotris lineolatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Strongylura strongylura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Tetraroge barbata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	4	0
Trypauchenopsis intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	312	1	0
Amphiprion ocellaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Amphiprion perideraion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Amphiprion sandaracinos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Apogon coccineus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
Atrosalarias fuscus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0
Belonepterygion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Cabillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chaetodon melannotus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chaetodon speculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cheiloprion labiatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chromis viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
Cirripectes castaneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
Cirripectes filamentosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
Cirripectes springeri Williams	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Cirripectes stigmaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Dascyllus melanurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Doryrhamphus dactyliophorus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Ecsenius yaeyamaensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Enneapterygius unimaculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Eviota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
Eviota nigramembrana Greenfield & Suzuki	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	1
Eviota prasina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Fowleria punctulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Fusigobius neophytus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Helcogramma inclinatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Naso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Nectamia luxuria Fraser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Nectamia viria Fraser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0
Neoglyphidodon nigroris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0
Neoniphon sammara	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Norfolkia brachylepis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Ostorhinchus nigrofasciatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0
Oxymonacanthus longirostris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Paragobiodon echinocephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Parapercis tetracantha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Parascorpaena	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Plagiotremus rhinorhynchos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Plectorhinchus chaetodonoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Plectorhinchus lessonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Plectroglyphidodon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pseudochromis marshallensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0
Salarias ceramensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sargocentron cornutum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
Sargocentron violaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Scorpaenopsis diabolus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Siganus puellus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Siganus punctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
Siganus virgatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Soleichthys heterorhinos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
Stegastes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sunagocia arenicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Thalassoma jansenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Trimma annosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1
Bathygobius meggitti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Diplogrammus xenicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Gerres filamentosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Lutjanus fulvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Lutjanus lemniscatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Monodactylus argenteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Neostethus villadolidi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0
Ophicara porocephala	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Oxyurichthys papuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pardachirus poropterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	211	0
Periophthalmus regius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0
Plagiotremus tapeinosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	21	0
Redigobius balteatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Taenioides anguillaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Exyrias	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Mesopristes argenteus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Platycephalus indicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Pomacentrus taeniometopon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Pseudorhombus arsius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Taenioides cirratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chelon tade	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
Gerres abbreviatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Lutjanus fulviflamma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
Oligolepis moloanus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Paraplagusia bilineata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Parascorpaena mossambica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Toxotes jaculator	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
