complete_name	location	legislation	network	year_established	core_area_ha	buffer_area_ha
Arthur's Rock Marine Sanctuary	null Mabini Batangas	MO 11-91 amended in 1993, MO 04-2006 amended in 2006	null	1991	17.98	0
Santiago Marine Protected Area	Santiago San Francisco Cebu	Municipal Ordinance No. 4 Series of 2005	null	2006	18	1
Mawodpawod Fish Sanctuary	null San Miguel Leyte	NA	null	0	18	0
Cabungan Fish Sanctuary	null Anda Pangasinan	Municipal Ordinance No. 02-99, Series 1999	null	1999	18	0
Malbago Fish Sanctuary	null Madridejos Cebu	Municipal Ordinance Mun Ord  001-2002	null	2002	18	0
Tayong Oriental Marine Sanctuary	null Loay Bohol	Municipal Ordinance Mun Ord  0-2002	null	2003	18	0
Calumbuyan (Sogod) Fish Sanctuary	null Sogod Cebu	NA	null	1996	18	0
Mansalay (B. Del Mundo) Fish Sanctuary	null Mansalay Oriental Mindoro	NA	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2007	18	0
Malabugas Lampirong Reserve	null Bayawan Negros Oriental	Municipal Ordinance Res. No. No. 663; City Ord. No. 40	null	2003	18	0
Pontoron Reef Fish Sanctuary	null Maigo Lanao Del Norte	Municipal Ordinance MO# 01-2001	null	2001	18	0
Libertad Fish Sanctuary	null Naval Biliran	NA	null	1995	18	0
Bonbon Island Marine Sanctuary	null Caluya Antique	NA	null	2000	18	0
Pasil (Kawasihan) Reef Marine Sanctuary	null Candijay Bohol	Municipal Ordinance Mun Ord  09-2001	null	2001	18	0
Islands of Majaba & Napayauan	null Aroroy Masbate	Proclamation PP# 2151 & PP# 225229	null	0	18	0
Basdio Marine Sanctuary	Basdio Guindulman Bohol	Municipal Ordinance Mun Ord  02-2008; Brgy. Res. No. 12-176-2001,MR# 2001-10-122	null	2002	18.04	0
Sabang Fish Sanctuary	Sabang Hinundayan Southern Leyte	Municipal Ordinance No. 2000-33	null	2000	18.13	0
Kapid Reef Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	18.144	0
Quinapaguian Fish Sanctuary	Quinapaguian Mercedes Camarines Norte	Mun. Ord.100-2002	null	2002	18.27	1
Bacuag Marine Protected Area	Poblacion Bacuag Surigao Del Norte	Municipal Ordinance No. 005 Series of 2007	null	2007	18.42	0
Bilasonan Og Bitaong Marine Sanctuary	Maljo Inopacan Leyte   / Esperanza Inopacan Leyte	Resolution Mun. Res. No. 134-1996	null	1996	18.5	0
Magay Marine Sanctuary	null Compostela Cebu	Municipal Ordinance MO# 8-s-2005	null	2005	18.5	0
Pulang Yuta Marine Sanctuary	Puangyuta Dimiao Bohol	Municipal Ordinance Mun Ord  8-2001	null	2001	18.55	0
Vinapor Fish Sanctuary	Vinapor Carmen Agusan del Norte	Municipal Fisheries Ordinance no.5 series of 2003	null	2003	18.57	0
Santiago Marine Sanctuary	null San Francisco Cebu	Municipal Ordinance MO# 2006-043	null	2006	18.592	0
Magtongtong Fish Sanctuary	Magtongtong Calape Bohol	Municipal Ordinance No. 96-05-1996;

Prov. Res. No. 497 Series1996;

Municipal Ordinance 15-2003; R.A. 7586	null	1996	18.62	0
Bantigue Island Marine Sanctuary	null Pres. Carlos P. Garcia Bohol	Municipal Ordinance MO# 10-054; 

Municipal Ordinance C-004-2006	null	2005	18.9	0
Centro Marine Sanctuary	Centro Tubigon Bohol	Municipal Ordinance Mun Ord 2000-07-167 (Tubigon CRM Code of 2000)	null	2005	19	0
San Miguel Fish Sanctuary	null San Miguel Leyte	Municipal Ordinance MO., BR. #2 & BFAR AO	null	0	19	0
Barugo Fish Sanctuary	null Barugo Leyte	Municipal Ordinance MO# 72, FAO# 180	null	1991	19	0
Budlanan Island Wilderness Area	null Tubigon Bohol	Proclamation PP# 2151 & PP# 225229	null	0	19	0
Agoho Marine Fish Sanctuary	null Mambajao Camiguin	NA	null	2000	19	0
Panga Wilderness Area	null Inabanga Bohol	Proclamation PP# 2151 & PP# 225229	null	0	19	0
Lagoma Fish Sanctuary	Laguma Silago Southern Leyte	Municipal Ordinance No. 2000-01	null	2000	19	0
Poblacion Fish Sanctuary	Poblacion Bacolod Bacolod Lanao Del Norte	Comprehensive Municipal Fisheries Ordinance 2007	null	2007	19	0
Maasin Fish Sanctuary	Maasin Bulalacao Oriental Mindoro	MPA Ordinance No. 15-02-144	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2014	19.06	0
Minombonan Reef and Fish Sanctuary	Camanga Salcedo Eastern Samar	Municipal Ordinance Mun Ord  02-1996; Mun Ord  04-1994	null	1996	19.2	0
Binangalan Reef Fish Sanctuary	null Palo Leyte	Municipal Ordinance Mun. Ord. 2006-08	null	2006	19.2	0
Jovellar MPA	null Tarragona Davao Oriental	NA	null	0	19.4	0
Mahaba Island Mangrove Swamp Forest Reserve /Fish Sanctuary	null Hinatuan Surigao Del Sur	Proclamation No. 2152, s.1981	null	1999	19.5	0
Kabaisan Marine Protected Area	null San Isidro Davao Oriental	MO # 2217

*year established to be verified	Davao Gulf Marine Protected Area Network Plan	2012	19.67	0
Chavayan Marine Protected Area	Chavayan Sabtang Batanes	aaa	null	0	19.698	0
Kantabugon Marine Protected Area	null Aloguinsan Cebu	MO No. 02 s of 2005	Marine Sanctuary Regulations Ordinance

MO No. 01 s of 2005	MPA Ordinance

MO No. 01 s of 2013	Bonbon Marine Sanctuary Ordinance

MO No. 02 s of 1999	Coastal and Fisheries Management Ordinance	null	2007	19.719	0
Pandong Bato Marine Sanctuary (Brgy. Puente)	null Carmen Cebu	Municipal Ordinance MO# 6-2006, Res No. 2006-195	null	1997	19.8	0
Liloan Marine Sanctuary	Tabugon Liloan Southern Leyte	Municipal Ordinance No. 1993-16	null	1993	19.8	0
Cataban Fish Sanctuary	null Talibon Bohol	Municipal Ordinance No. 96-54 Series 1996;

Municipal Ordinance No. C-004	null	1996	19.85	0
Antipuluan-Taritien Fish Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	19.954	0
Magallanes Municipal Fish/ Marine Sanctuary	Biga Magallanes Sorsogon	Municipal Ordinance No.287-2002	null	2002	20	21
Bolusao Fish Sanctuary	Bolusao Lawaan Eastern Samar	Mun. Fishery Ord. No. 03-2003	null	2000	20	1
Bolusao Fish Sanctuary	Bolusao Lawaan Eastern Samar	BRGY. ORDINANCE IS ON PROCESS BUT A PO RESOLUTION NO. 01, SERIES OF 2013 WAS MADE AND LOBBIED TO THE BRGY. FOR ADOPTION	null	2000	20	1
Bolusao Fish Sanctuary	Bolusao Lawaan Eastern Samar	Mun. Fishery Ord. No. 03-2003	null	2009	20	1
Bolusao Fish Sanctuary	Bolusao Lawaan Eastern Samar	BRGY. ORDINANCE IS ON PROCESS BUT A PO RESOLUTION NO. 01, SERIES OF 2013 WAS MADE AND LOBBIED TO THE BRGY. FOR ADOPTION	null	2009	20	1
Lout Offshore Reef Marine Sanctuary	Poblacion (Malapatan) Malapatan Sarangani	An Ordinance Establishing a Marine Sanctuary in the Offshore Reef of Lot, Barangay Poblacion, Municipal Waters of Malapatan, Province of Sarangani	null	2006	20	0
Baybay Lun Padidu Offshore Reef Marine Sanctuary	Lun Padidu Malapatan Sarangani	An Ordinance Establishing a Marine Sanctuary in the Offshore Reef of Baybay, Barangay Lun Padidu, Municipal Waters of Malapatan, Province of Sarangani	null	2006	20	0
Bacayawan Marine Protected Area	Bacayawan Dimataling Zamboanga Del Sur	Municipal Ordinance Barangay Ordinance No. 10. Series of 2006 (2010 Municipal MPA Ordinance for second reading), Resolution #202	null	2006	20	0
Bibilic Marine Sanctuary	Bibilik Dumalinao Zamboanga Del Sur	Municipal Ordinance M.O. No. 2003-02-186 Series of 2003	null	2003	20	0
Calatagan Mangrove Rehabilitation and Nursery Project	Balibago Calatagan Batangas	Calatagan Environmental Code 2009/ Barangay Ordinance



(two zones: near guardhouse and fishpond boundary)	Batangas Marine Protected Area And Bantay Dagat Network	2010	20	0
Macabug Fish Sanctuary	null Ormoc City Leyte	NA	null	2001	20	0
Hingotanan West Marine Sanctuary	null Bien Unido Bohol	Municipal Ordinance MO# 2000-21	null	2002	20	0
San Juan Fish Sanctuary	null Panukulan Quezon	Municipal Ordinance MO	null	2003	20	0
Cagsiay Fish Sanctuary	null Mauban Quezon	Municipal Ordinance MO	null	2005	20	0
Malingin Fish Sanctuary	Malingin Bien Unido Bohol	Municipal Ordinance MO# 2000-21, MO 2-2002	null	1994	20	0
Baod Fish Sanctuary	Baod Bantayan Cebu	Municipal Ordinance MO 08-1999	null	1999	20	0
Pasitagan Sulangon Marine Sanctuary	null Bantayan Cebu	Municipal Ordinance MO# 8-s-1999	null	1999	20	0
Brgy. Maono-Pausod Artificial Reef	null San Miguel Leyte	NA	null	0	20	0
Visayan State College of Agriculture Marine Sanctuary	null Baybay Leyte	NA	null	0	20	0
Bacungan Fish Sanctuary	null Pagbilao Quezon	NA	null	2002	20	0
Jagoliao Seagrass Marine Sanctuary	Jagoliao Jetafe Bohol	Municipal Ordinance No. 14 Series 2002;

Municipal Ordinance No. 08 Series 2003¹	null	2002	20	0
Pingan-Pingan Reef Fish Sanctuary	null Lupon Davao Oriental	NA	null	0	20	0
Bongalonan Marine Sanctuary	null Basay Negros Oriental	Municipal Ordinance Mun Ord 01-1985; Mun Ord 23-1993	null	1985	20	0
Tamiao Marine Sanctuary	Tamiao Bantayan Cebu	Municipal Ordinance Mun. Ord. 08-1999	null	1996	20	0
Capayas Island Marine Sanctuary	null Lopez Jaena Misamis Occidental	NA	null	2000	20	0
Unidad Rizal and Gamut, Barobo Fish Sanctuary	null null Surigao Del Sur	NA	null	0	20	0
Mandawa Fish Sanctuary	Mandawa Bien Unido Bohol	Municipal Ordinance MO# 2000-21, MO# 2-2002	null	2000	20	0
Libjo/Bucao Fish Sanctuary	null Polillo Quezon	Municipal Ordinance MO	null	2003	20	0
Pilar Fish Sanctuary	null Pilar Capiz	NA	null	1998	20	0
Sibolo Island Marine Sanctuary	null Caluya Antique	NA	null	1994	20	0
Katadungan Brgy. Punta Maria Fish Sanctuary and Marine Protected Area (prop)	null Borongan Eastern Samar	NA	null	0	20	0
Campao Occidental Marine Sanctuary	Campao Occidental Jetafe Bohol	Municipal Ordinance Mun Ord 08-2002	null	2002	20	0
Suba Marine Sanctuary	null Anda Bohol	Ordinance MO	null	2004	20	0
Pulong Wala Fish Sanctuary	null Perez Quezon	Municipal Ordinance MO	null	2002	20	0
Sulangan Marine Sanctuary	Sulangan Bantayan Cebu	Municipal Ordinance No. 08-1999;

Municipal Ordinance 07-1996	null	1996	20	0
Pamosaingan Marine Sanctuary	null Socorro Surigao Del Norte	Municipal Ordinance MO# 5	null	2000	20	0
Basud & Maanda Fish Sanctuary	null Leyte Leyte	Municipal Ordinance MO	null	0	20	0
Pandanon Fish Refuge and Sanctuary	Pandanon Jetafe Bohol	Municipal Ordinance No. 08 Series 1996;

Municipal Ordinance No. 08 Series 2002	null	2002	20	0
Bugsayon Marine Sanctuary	null null null	MO 052-03	null	2003	20	13
Rabaw Ti Bato	null null null	Municipal Ordinance No. 04 Series of 2014	null	2014	20	50
Rabaw Ti Bato	null null null	Municipal Ordinance No. 04 series of 2014	null	2014	20	50
Rabaw Ti Bato	null null null	Municipal Ordinance No. 04 Series of 2014	null	2014	20	50
Rabaw Ti Bato	null null null	Municipal Ordinance No. 04 series of 2014	null	2014	20	50
Dapia Marine Sanctuary	null Island Garden City of Samal Davao Del Norte	City Ordinance 2010-160	Davao Gulf Marine Protected Area Network Plan	2010	20.13	0
Belatan Halo Fish Sanctuary	null Panglima Sugala (Balimbing) Tawi Tawi	PS-09-007 S-2009	null	2009	20.17	0
Obo-ob Marine Protected Area	Obo-Ob Bantayan Cebu	NA	null	2004	20.38	12
Kabac Marine Sanctuary	null Bantayan Cebu	Municipal Ordinance Mun Ord  08-1999 (to be amended)	null	2006	20.48	0
Bantigue Fish Sanctuary	null Ormoc City Leyte	Municipal Ordinance Mun Ord  05-2003	null	2005	20.6	0
Virgen Marine Park and Sanctuary	Virgen Anda Bohol	NA	null	2016	20.6	10.7
Biga Fish Sanctuary and Refuge	Biga Lobo Batangas	Barangay Resolution No. 02-2002, Municipal Ordinance No. 2 series of 2002	Batangas Marine Protected Area And Bantay Dagat Network	2002	20.65	0
Anapog Fish Sanctuary	null San Remigio Cebu	Municipal Ordinance Mun Ord  32-2002	null	2002	20.8	0
Ungus-Ungus Marine Protected Area	Ungus-Ungus Bongao Tawi Tawi	Municipal Ordinance BR# 2-s-2007, MO# 167-s-2007	null	2007	20.9	0
Dugong Sanctuary	null Island Garden City of Samal Davao Del Norte	MO 2010-160	Davao Gulf Marine Protected Area Network Plan	2010	20.93	0
Merida Fish Sanctuary	null Merida Leyte	Municipal Ordinance MO. & BFAR. AO	null	0	21	0
Agdao Centro Fish Sanctuary	Agdao Davao City Davao Del Sur   / Centro (San Juan) Davao City Davao Del Sur	CO #375 s-2007	null	2007	21	0
Real Marine Sanctuary Dev't Project	null Daram Samar	NA	null	0	21	0
San Isidro Marine Sanctuary	San Isidro Magsaysay Misamis Oriental	Barangay Ordinance No. 11, Series of 2000; SB Resolution No. 32, Series of 2000	null	2000	21	0
Kandiis Marine Sanctuary	Candiis Magsaysay Misamis Oriental	Municipal Ordinance Resolution No. 97, Series of 2000, Barangay Ordinance Resolution No. 96, Series of 2000, Barangay Ordinance Resolution No. 2-3,	null	2000	21	0
Cagasawan Seagrass Sanctuary	Cagawasan Inabanga Bohol	Municipal Ordinance Mun Ord 00-21-2000	null	2000	21	0
Lain Marine Reserve and Fish Sanctuary	Taguite Lawaan Eastern Samar	Municipal Ordinance No. 01 series of 2001



Municipal Ordinance Mun Ord  4-1994; Mun Ord  02-1996	null	1996	21.1	1
Dumana Marine Sanctuary	Tahud Inopacan Leyte	Resolution Mun. Res. No. 134-1996; Ordinance No. 02, Series of 2005	null	1996	21.3	0
Olang Marine Protected Area	Olang Maria Siquijor	Municipal Ordinance Mun Ord No. 02-2002	null	2003	21.36	0
Bogo Marine Protected Area	Bogo Maria Siquijor	Municipal Ordinance Municipal Ordinance. (specific number not obtained)	null	2002	21.36	0
Imnajbu Marine Sanctuary	Imnajbu Uyugan Batanes	NA	null	0	21.525	0
Capandan Marine Protected Area	Capandan Cortes Surigao Del Sur	-	Lanuza Bay Development Alliance (LBDA)	2003	21.53	0
Mawi Marine Sanctuary	Mawi Duero Bohol	Municipal Ordinance Mun Ord  02-2003	null	2003	21.56	0
Municipal Fish Sanctuary	Capalong Real Quezon	Municipal Ordinance No. 010 Series of 2011	null	2011	21.6	0
Nueva Estrella Fish Sanctuary	Pamosaingan Socorro Surigao Del Norte	Municipal Ordinance No. 03 Series of 2003	null	2003	21.619	0
Masaguisi Fish Sanctuary	Masaguisi Bongabong Oriental Mindoro	Municipal Ordinance No.05-2012	null	2006	21.68	0
Hingotanan East Marine Sanctuary	Hingotanan East Bien Unido Bohol	Municipal Ordinance No. 2005-02;

Municipal Ordinance No. 2002-02	null	2002	21.7	0
Langkis Marine Sanctuary	Langkis Duero Bohol	Municipal Ordinance Mun Ord  02-2003	null	1999	21.79	0
Basco Community Marine Sanctuary	Chanarian Basco Batanes	Ordinance No. 2005-104	null	2005	21.85	0
Banbanon Fish Sanctuary	Banbanon San Francisco Surigao Del Norte	SB Ordinance #  99-059	null	1999	21.99	0
Talisay Marine Sanctuary	Malim Tabina Zamboanga Del Sur	Mun. Ordinance # 03-89/2003	null	2002	22	0
Tubajon MPA	Tubajon Laguindingan Misamis Oriental	Municipal Ordinance # 94 Series of 2002	null	2002	22	0
Liboron Seagrass Sanctuary	Liboron Calape Bohol	Municipal Ordinance Mun Ord  11-2003	null	1996	22	0
Semirara Island Marine Sanctuary	null Caluya Antique	NA	null	1998	22	0
Kaongkod Marine Sanctuary	null Madridejos Cebu	Municipal Ordinance No. 07-1996	null	1996	22	0
Combo Marine Sanctuary	null Labangan Zamboanga Del Sur	Municipal Ordinance BO#03-S 2006, Municipal Ordinance No. 200302 - 186	null	2006	22	0
Capitancillo, Bogo CEP	null Bogo Cebu	Municipal Ordinance Municipal Ordinance	null	2004	22	0
Liboganon MPA	Liboganon City of Tagum Davao Del Norte	CO # 249 s-2007	Davao Gulf Marine Protected Area Network Plan	2005	22	0
Santa Fish Sanctuary	Magsaysay District Santa Ilocos Sur	Resolution No. 35	null	2007	22	0
Taguite Fish Sanctuary	Taguite Lawaan Eastern Samar	Brgy. Resolution No. 03 1994, MFO No. 03 - 2003	null	1994	22.1	1
Taguite Marine Sanctuary	null Lawaan Eastern Samar	Municipal Ordinance MO, BR# 3-1994	null	1996	22.2	0
Bool Fish Sanctuary	Bool Tagbilaran City Bohol	Municipal Ordinance Municipal OrdinanceNo. C-075-2000	null	2000	22.2	0
Cabantian Marine Sanctuary	Cabantian Guindulman Bohol	Municipal Ordinance Mun Ord  02-2008;

Mun Ord  09-176-2003;

Mun. Res. No. 09-179,-2003; Brgy. Res. Mo. 08,-2003	null	2003	22.22	0
Mahayag Marine Reserve Area	null Villareal Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	2003	22.5	0
Daan-Lungsod and Guiwang Marine Sanctuary	Daan-Lungsod Alcoy Cebu   / Guiwang Alcoy Cebu	Municipal Ordinance #19-2002	null	2002	22.71	0
Luban MPA	null Mati Davao Oriental	NA	null	0	22.83	0
Twin Rocks Marine Sanctuary	null Mabini Batangas	MO 11-91 amended in 1993; MO 04-2006 amended in 2006	null	1991	22.91	0
Campalabo Marine Reserve/Sanctuary	null Pinamungahan Cebu	Municipal Ordinance Municipal ordinance  (no specific number not obtained)	null	2002	23	0
Punta Ilag Fish Sanctuary	Ilag San Teodoro Oriental Mindoro	Municipal Ordinance No.03-2014	Oriental Mindoro Marine Protected Area And Fishery Law Enforcement Network (Ommpafle Network)	2009	23.1	0
Malatgao-Taritien Fish Santuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	23.3322	0
Luyang Fish Sanctuary	null San Remigio Cebu	Municipal Ordinance Mun Ord  47-2003	null	2003	23.34	0
Liaburan Fish Sanctuary	null Panglima Sugala (Balimbing) Tawi Tawi	PS-09-002 S-2009	null	2009	23.38	0
Bacawan Fish Sanctuary	Bacawan Pola Oriental Mindoro	Municipal Ordinance No. 09-07

Municipal Ordinance No. 06-01	null	2006	23.44	0
Arena Island Fish Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	23.455	0
Santo Rosario Fish Sanctuary	Santo Rosario Maasin Southern Leyte	Municipal Ordinance No. 2001-4	null	2001	23.49	0
Darumawang Bukana Fish Sanctuary	Darumawang Bucana Lala Lanao Del Norte	Barangay Ordinance	null	2007	23.6	0
Bagacay Fish Sanctuary	Bagacay Sibonga Cebu	Municipal Ordinance Mun Ord  11-2000	null	2000	23.61	0
Majigpit Marine Sanctuary	null Clarin Bohol	Municipal Ordinance #8 Series of 2000	null	2000	23.61	0
Balingasay Marine Sanctuary	Balingasay Bolinao Pangasinan	Municipal Ordinance MO# 02-1998	null	1997	24	0
Tayong Occidental Marine Sanctuary	null Loay Bohol   / null Cauayan Negros Occidental	Municipal Ordinance Mun Ord  0-2001	null	2003	24	0
Panglit Marine Protected Area	San Lorenzo Masinloc Zambales	Resolution No. 39-07

Barangay Ordinance No. 02-06	null	2007	24	91
Babatngon Fish Sanctuary (Calangawan Is.)	null Babatngon Leyte	Combination FAO# 179, MO# 113 & MO# 116	null	1991	24	0
Punta Marine Sanctuary	null Baybay Leyte	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	0	24	0
San Roque Fish Sanctuary	null Tolosa Leyte	NA	null	0	24	0
Candaping B Marine Protected Area	Candaping B Maria Siquijor	Municipal Ordinance Mun Ord  02A	null	1996	24.2	0
San Ignacio MPA and Marine Sanctuary	null Manay Davao Oriental	NA	null	0	24.25	0
Tulapos Marine Sanctuary	Tulapos Enrique Villanueva Siquijor	Municipal Ordinance Mun Ord  11,-1987; Mun Ord 1 amended by Mun Ord  5,-2002; Sangguniang Bayan Resolution No. 27,-2002	null	1987	24.45	0
Barangay Sinapsapan Marine Protected Area	null null null	Municipal Ordinance 004-2017	null	2017	24.46	0
Panaloytoyon Fish and Marine Sanctuary	null Quinapondan Eastern Samar	Municipal Ordinance Mun Ord  94-04-1994	null	2000	24.65	0
Tag-anongan Marine Sanctuary	Tag-Anongan Cortes Surigao Del Sur	-	Lanuza Bay Development Alliance (LBDA)	2003	24.78	0
Jandayan Norte Fish Refuge and Sanctuary	Jandayan Norte Jetafe Bohol	Brgy. Resolution No. 18-2002;

Municipal Ordinance  08-2002	null	2002	24.86	0
Balibadon Fish Sanctuary	Balibadon Cortes Surigao Del Sur	-	Lanuza Bay Development Alliance (LBDA)	2003	24.87	0
Unidos Marine Sanctuary	Unidos San Francisco Cebu	Municipal Ordinance No. 4 Series of 2007	null	2007	25	1
Baud Marine Sanctuary	null Pres. Carlos P. Garcia Bohol	Municipal Ordinance Mun Ord  C-004-2006	null	1993	25	0
Hibotkan Rock Sanctuary	null Banate Iloilo	Municipal Ordinance Mun. Ord.(specific number not obtained)	null	1995	25	0
Lamintao-Pasil Area Sanctuary	null Barotac Nuevo Iloilo	Municipal Ordinance Mun. res. No. 28; Mun. Ord. 02-98; Mun. Fisheries Ordinance 2004	null	2004	25	0
Bel-is Fish Sanctuary and Fishery Reserve	null Buruanga Aklan	Municipal Ordinance Mun Ord  05-08	null	2004	25	0
Bato-Tagatay Reef Fish Sanctuary	null Santa Cruz Davao Del Sur	Municipal Ordinance BO# 4-2001	Davao Gulf Marine Protected Area Network Plan	2001	25	0
Poblacion Fish Sanctuary	null Caluya Antique	NA	null	1985	25	0
Coastal Resource Mgt. & Marine Reserve	null Matalom Leyte	Resolution MR# 91-71 & MR# 91-06	null	0	25	0
Bato Seagrass and Fish Sanctuary	Bato Badian Cebu	Municipal Ordinance MO# 09-2003	null	2003	25	0
Sacol Fish Sanctuary	Sacol Buenavista Agusan del Norte	MCFO No. 30 Series of 2005	null	2006	25	0
Pilar Island Fish Sanctuary No. 2	null Santo Nino Samar	Municipal Ordinance Mun. Ord. (specific number not obtained)	null	0	25	0
Butan Marine Sanctuary	null Pres. Carlos P. Garcia Bohol	NA	null	1993	25	0
Lambug Seagrass and Fish Sanctuary	Lambug Badian Cebu	Municipal Ordinance Mun Ord  05-2006; municipal Ord. No. 09-2003	null	2003	25	0
Manapa Fish Sanctuary	Manapa Buenavista Agusan del Norte	Municipal Ordinance Mun Ord 04-1994



MCFO No 3 Series of 2005	null	1996	25	0
Boac Community Marine Sanctuary	Caganhao Boac Marinduque	Municipal Ordinance MO# 69 S of 2002

amended by Ordinance 2014-145	null	2002	25	0
Sag-ang Fish Sanctuary	null Tanauan Leyte	Municipal Ordinance Mun Ord  05-2005	null	1992	25	0
Brgy. Malingon Marine Sanctuary Project	null Daram Samar	NA	null	0	25	0
Pasil Seagrass System	null Barotac Nuevo Iloilo	Municipal Ordinance MO	null	0	25	0
Binay-Palihon Island Fish/ Marine Sanctuary	null Palapag Northern Samar	Municipal Ordinance Res. No. 93-047 Administrative Ord. No. 04-93 res. No. 94-005 amending No. 93-047 Ord. No. 11-2003	null	2000	25	0
Bato Marine Protected Area	null Island Garden City of Samal Davao Del Norte	NA	Davao Gulf Marine Protected Area Network Plan	2008	25	0
PNOC Fishery Reserve Area	Batangas II Mariveles Bataan	MFARMC Resolution No. 10 Series of 2001	null	2001	25	0
Ligaya Reef Sanctuary	Ligaya Sablayan Occidental Mindoro	General Ordinance 03-2008	null	2008	25	0
Orion Kent Fish Sanctuary	Daang Pare Orion Bataan	NA	null	1994	25	0
Buenavista Fish Sanctuary	Buenavista Surigao City Surigao Del Norte	NA	null	2002	25	0
Ingan Fish Sanctuary	Ingan Hinunangan Southern Leyte	Municipal Ordinance No. 2003-07	null	2000	25	0
St. Peter the Rock Fish Sanctuary	Tagumpay Pola Oriental Mindoro	Municipal Order No. 10-11	null	2010	25.10839993	0
Brgys. Calogan & Sta. Nino Artificial Coral Reefs (Gango)	null Magallanes Agusan del Norte	NA	null	0	25.13	0
Malabrigo Fish Sanctuary and Refuge	Malabrigo Lobo Batangas	Brgy. Reso. 02-2002-Ordinance # 02-2002/SB Reso 2002-60, Municipal Ordinance No. 02 series of 2002	Batangas Marine Protected Area And Bantay Dagat Network	2002	25.18	0
Colayo MPA	null Bani Pangasinan	NA	null	2004	25.3	0
Tinaogan Marine Reserve	null Bindoy Negros Oriental	SB, CVRP Nearshore Fisheries; Municipal Ordinance Mun Ord  001-2007; Mun. Res. No. 96-72	null	1988	25.3	0
Maslog Fish Sanctuary	null Lawaan Eastern Samar	Municipal Ordinance 04 - 1996	null	2002	25.4	1
Maglog Fish Sanctuary	null Lawaan Eastern Samar	Municipal Ordinance Mun Ord  04-1996	null	2002	25.4	0
Pagudpud (Dos Hermanos) Fish S	Balaoi Pagudpud Ilocos Norte	MO # Establishing the Pagudpud Fish Sanctuaries	null	2008	25.77	0
Pagudpud (Bantay Abot-Kimallugong) Fish Sanctuary	Balaoi Pagudpud Ilocos Norte	MO # Establishing the Pagudpud Fish Sanctuaries	null	2008	25.93	0
Dadatan Marine Protected Area	null Island Garden City of Samal Davao Del Norte	NA	Davao Gulf Marine Protected Area Network Plan	2010	26	0
Tantanang Bay MPA	null Alicia Zamboanga Sibugay	Municipal Ordinance MO# 09-s-2005	null	2005	26	0
Sabang Fish Sanctuary	null null null	-	null	2004	26	0
Gosong Reef Fish Sanctuary	Tagpait Aborlan Palawan	Municipal Ordinance No. 002, 2011	null	2011	26.046	0
Sagasan-Marcos Village (SaMVil) Marine Protected Area	Sagasan San Pablo Zamboanga Del Sur   / Marcos Village San Pablo Zamboanga Del Sur	Municipal Ordinance IBRA 9 Unified Ordinance # 1, Resolution 271030 (Joint Barangay  Resolution) As amended in 2010 (second reading)	null	2006	26.141	0
Tubod Mar Marine Sanctuary	Tubod Mar Jagna Bohol	Municipal Ordinance Mun Ord  9-09-2007; Mun Ord  6-09-2001	null	2001	26.22	0
Camp Downes Fish Sanctuary	null Ormoc City Leyte	Municipal Ordinance Mun Ord  01-2003	null	2005	26.48	0
Apale and Tolingon Fish Sanctuary	null Isabel Leyte	Municipal Ordinance Mun Ord  5-1999 adapted in Mu. Ord. No. 0907-02-2007	null	1999	26.5	0
Lumayag Marine Park	null Mabini Bohol	Municipal Ordinance Mun. Ord. No. 03-1997;
Mun. Ord. No. 7-1989;
Mun. Ord No. 02-1995	null	1989	26.5	0
Taongon Can-andam Marine Sanctuary	null null null	Mun. Ord. No. 08 Series

2001; Mun. Res. No. 77

Series 2001	null	1999	26.5967	0
Taug-Tiguis Marine Sanctuary	null Lila Bohol	Municipal Ordinance MO# CO-001-s-2001	null	2001	26.7	0
Caub Marine Sanctuary	Caub Del Carmen Surigao Del Norte	Municipal Ordinance # 002 Series of 2014

	* Declaring Brgy.Caub /San Fernando Fish & marine Sanctuary in the Municipality of Del Carmen,Province of Surigao del Norte	null	2014	26.7	24.8
Labog Marine Protected Area	Labog Sofronio Espanola Palawan	Municipal Ordinance No. 76, 2008	null	2008	26.922	0
Kinawahan Fish Sanctuary	Kinawahan San Remigio Cebu	Municipal Ordinance Mun Ord  45-2003	null	2003	27	0
Laoag, Lomboy and Camiing sanctuary	Laoag Cabangan Zambales   / Lomboy Cabangan Zambales   / Camiling (Camiing) Cabangan Zambales	Resolution No. 2011-56

Ordinance no: 1999-09 ( March 3, 1999)	null	2011	27	162
Buenavista Marine Protected Area	Buenavista Tandag Surigao Del Sur	-	Lanuza Bay Development Alliance (LBDA)	2006	27	0
Puntod Reef Fish Sanctuary	null Narra Palawan	Municipal Ordinance No. 159, 2005	null	2005	27.242	0
